サービスコンポーネント|サービスを、構成する、要素。
サービス品質|提供するサービスが、利用者の要求を、満たしている度合い。
サービスライフサイクル|サービスの、企画から、設計、運用、廃止までの、一生の流れ。
サービスマネジメントシステム|サービスを、計画・提供・改善するための、組織の管理の仕組み。
サービスの要求事項|サービスが、満たすべき、要求。
顧客|サービスを受ける、依頼者。
サービス提供者|サービスを、顧客に提供する、組織。
JIS Q 20000規格群|ITサービスマネジメントの、要求事項などを定めた、JIS規格の、シリーズ。
SLO|サービスレベルの、目標。
SLI|サービスレベルを、測るための、指標。
サービス可用性|サービスが、必要なときに、利用できる度合い。
サービス時間|サービスを、提供する、時間帯。
応答時間|要求を受けてから、応答が返るまでの時間。
サービス及びサービスマネジメントシステムのパフォーマンス|サービスと、その管理の仕組みの、実績や成果。
PDCA|計画・実行・評価・改善を繰り返して、継続的に、改善する考え方。
JIS Q 9001|品質マネジメントシステムの、要求事項を、定めたJIS規格。
マネジメントシステム|目標を達成するために、組織が、方針・手順などを、体系的に管理する仕組み。
資源|活動に使う、人・物・金・情報など。
力量|業務を、行うために必要な、知識や技能。
認識|方針や、自分の役割などを、理解していること。
文書化した情報|管理し、維持することが、求められる、記録や文書。
知識|組織が、持つ、知見や、ノウハウ。
サービスポートフォリオ|提供している、または、計画中の、サービスの、全体像。
サービス・パイプライン|将来提供する予定で、検討や開発中の、サービス。
サービスの状態|サービスが、提供中か、開発中か、廃止かといった、状態。
資産管理|組織の、ハードウェアや、ソフトウェアなどの、資産を管理すること。
ソフトウェアアセットマネジメント|ソフトウェアの、ライセンスや、利用状況を、管理すること。
ライセンスマネジメント|ソフトウェアの、ライセンスを、適切に、管理すること。
構成情報|サービスの構成要素の、情報。
事業関係管理|顧客などの、事業に関わる、関係者との、関係を管理すること。
顧客関係|顧客との間の、関係。
顧客満足|サービスに対する、顧客の、満足の度合い。
サービス満足度|サービスに、顧客が、どのくらい満足しているかを表す度合い。
苦情|サービスに対する、不満の、申立て。
サービスレベル管理|サービスの、水準を、合意し、維持・改善する管理。
サービスレベル目標|サービスレベルの、達成すべき、目標値。
サービスレベル指標|サービスレベルを、測るための、指標。
パフォーマンス|システムなどの、性能や、実績。
供給者管理|外部の供給者との、関係や、契約を、管理すること。
外部供給者|サービスの提供のために、組織の外から、製品やサービスを、供給する者。
内部供給者|組織の内部で、サービス提供に、必要なものを、供給する部門。
供給者として行動する顧客|顧客が、サービスの、一部を提供する、供給者になる場合。
契約|当事者が、取り決めた、約束。
アウトソーシングの利用|業務や、システムの運用を、外部へ委託すること。
サービスの予算業務及び会計業務|サービスに関する、予算の管理と、会計処理。
財務管理|資金の、調達や、運用を管理すること。
予算業務|予算を、立て、管理すること。
会計業務|費用や、収益を、記録し、集計すること。
総所有費用|導入から運用、廃棄までにかかる、総費用。TCOともいう。
需要|サービスに対する、利用者の、必要や、要望。
需要管理|サービスの需要を、把握して、調整すること。
需要予測|将来の、サービスの需要を、予測すること。
キャパシティ|システムなどが、処理できる、最大の量。
キャパシティ計画|将来の需要を、満たす、処理能力を、計画すること。
しきい値|警告などを、発する、基準となる値。
管理指標|管理のために、測る、指標。
優先度|作業などを、行う順位を決めるための、重要度。
変更のカテゴリー|変更を、種類や重大さなどに、応じて分けたもの。
変更諮問委員会|変更について、審議し、助言を行う、委員会。
変更実施後のレビュー|変更が、実施された後に、結果を、確認すること。
サービスの設計及び移行|サービスの、設計と、本番環境への、移行を行うこと。
新規サービス又はサービス変更の計画|新しいサービスや、サービスの変更を、計画すること。
サービス受入れ基準|サービスを、受け入れるかを判断するための、基準。
設計・開発|サービスを、設計し、作ること。
サービス設計書|サービスの、設計内容を、まとめた文書。
構築|システムなどを、組み立てて、使える状態にすること。
運用サービス基準|運用サービスを、行うための、基準。
業務及びシステムの移行|業務や、システムを、新しい環境へ、切り替えること。
移行計画|移行の、手順や、日程を定めた計画。
移行リハーサル|本番の移行に備えて、手順を、事前に、試すこと。
移行判断|移行してよいかを、判断すること。
移行の通知|移行を行うことを、関係者へ知らせること。
運用引継ぎ|開発から、運用の担当へ、必要な情報を引き継ぐこと。
リリース及び展開管理|変更されたものを、本番環境へ、リリースし、展開する作業の管理。
リリース|変更や新しい機能を、本番環境で、使えるようにすること。
展開|リリースしたものを、実際の利用環境に、配置すること。
リリースの受入れ基準|リリースを、受け入れるか判断する基準。
受入れ試験環境|受入れテストを、行うための環境。
稼働環境|システムが、実際に動作している、環境。
影響|インシデントなどが、業務に及ぼす、影響の大きさ。
解決目標時間|インシデントなどを、解決すべき、目標の時間。
エスカレーション|自分で解決できない問題を、上位の担当者や、専門家へ引き上げること。
