ウォーターフォールモデル|要件定義から保守まで、工程を、順番に進める、開発モデル。前の工程には戻らない。
アジャイル|短い期間で、開発とテストを繰り返し、変化に柔軟に対応する開発手法。
MLOps|機械学習モデルの、開発から運用までを、継続的に、効率よく行うための、考え方や仕組み。
ソフトウェアプロダクトライン|共通の部品を、再利用して、似た製品群を、効率的に開発する手法。
段階的モデル|システムを、いくつかの段階に分けて、順に完成させて提供する開発モデル。
進展的モデル|開発を進めながら、要件を見直し、成果物を、進化させていく開発モデル。
アジャイルソフトウェア開発宣言|アジャイル開発の、価値観を示した宣言。
アジャイルソフトウェアの12の原則|アジャイル宣言の背景にある、12の行動の原則。
モブプログラミング|チーム全員が、1台のコンピュータを使い、一緒にプログラムを書く手法。
ふりかえり|スプリントなどの、終了時に、チームで、進め方を振り返り、改善策を考えること。
KPT|Keep(続けること)・Problem(問題)・Try(挑戦すること)の、3つに整理する、ふりかえりの手法。
継続的インテグレーション|変更のたびに、自動でビルドやテストを行い、統合していく開発手法。
ソースコードの共同所有|チームの全員が、どのソースコードも、変更してよいという考え方。
YAGNI|今は必要のない機能は、作らないという、考え方。
スクラムチーム|スクラムで、開発を行う、プロダクトオーナー、スクラムマスター、開発者から成るチーム。
スプリント|スクラムで、開発を繰り返す、短い期間。1〜4週間程度。
スプリントバックログ|スプリントの間に、行う作業を、まとめた一覧。
SRE|システムの信頼性を、ソフトウェア開発の考え方で高める、運用の手法。
継続的デリバリー|ソフトウェアを、いつでもリリースできる状態に、保ち続ける手法。
継続的デプロイ|テストを通った変更を、自動的に、本番環境へ反映する手法。
カオスエンジニアリング|意図的に障害を起こして、システムの耐障害性を、確認・向上させる手法。
モジュールの独立性|モジュール同士の結びつきが弱く、それぞれが、独立している度合い。
カスタマイズ|パッケージなどを、利用者の要望に合わせて、変更すること。
コールグラフ|プログラムの中の、関数やメソッドの、呼び出し関係を、表した図。
プレゼンテーションマッシュアップ|複数のサービスの、画面を、組み合わせて表示する手法。
データマッシュアップ|複数のサービスの、データを、組み合わせて、新しいサービスを作る手法。
ロジックマッシュアップ|複数のサービスの、処理(ロジック)を、組み合わせる手法。
モバイル用Webアプリケーションソフトウェア|スマートフォンなどの、ブラウザ上で動作する、アプリ。
ネイティブアプリケーションソフトウェア|端末のOS向けに、作られて、直接動作するアプリ。
ハイブリッドアプリケーションソフトウェア|ネイティブアプリの中に、Web技術を組み込んだ、アプリ。
PWA|Webサイトを、アプリのように、使えるようにする技術。
User-Agent|Webブラウザなどが、サーバに、送る、自分の種類を示す情報。
パーミッション要求|アプリが、端末の機能やデータを、使う許可を、利用者に求めること。
アプリケーションソフトウェア審査|アプリの、配布前に、安全性や品質を、確認する審査。
アプリケーションソフトウェア配布|アプリを、利用者に、届けること。
階層構造化|システムなどを、階層的に整理すること。
構造化チャート|プログラムの、モジュールの構成と、関係を、表した図。
ソフトウェア構造|ソフトウェアを構成する、要素と、その関係。
VDMTools|形式的な仕様記述を支援する、開発ツール。
JIS X 0160|ソフトウェアの、ライフサイクルプロセスを、定めた規格。
SLCP-JCF|日本の、ソフトウェア開発と取引の、作業内容を定めた、共通フレーム。
CMMI|組織の、ソフトウェア開発プロセスの、成熟度を、評価するモデル。
プログラムの著作者|プログラムを、創作した人。
専用実施権|特許などを、特定の人だけが、独占して実施できる権利。
通常実施権|特許などを、複数の人が、実施できる権利。
ライセンサー|ライセンスを、与える人。
ライセンシー|ライセンスを、受ける人。
コピーガード|不正なコピーを、防ぐための仕組み。
DRM|デジタルコンテンツの、複製や利用を、制限する技術。
アクティベーション|ソフトウェアを、利用するために、ライセンスを認証する手続き。
CPRM|記録媒体に、コンテンツの、コピーを制限する、著作権保護技術。
構成品目|構成管理の、対象となる、要素。
ソフトウェアライセンス|ソフトウェアを、利用するための、許諾の条件。
