パーソナルコンピュータ|個人が使うことを前提にした、小型で低価格なコンピュータ。PCともいう。
ワークステーション|設計や画像処理など、高い性能が要る専門的な作業向けの、高性能なコンピュータ。
スーパーコンピュータ|科学技術計算などの、膨大な計算を高速に行うための、最高水準の性能を持つコンピュータ。|天気予報や、新薬の開発。
デスクトップPC|机の上に据え置いて使う、パーソナルコンピュータ。
ノートPC|持ち運びできるよう、本体・画面・キーボードを一体にした、パーソナルコンピュータ。
サーバ|ネットワークを通じて、他のコンピュータへサービスや情報を提供するコンピュータ。
携帯端末|スマートフォンやタブレットなど、持ち運んで使う情報端末。
シングルボードコンピュータ|CPUやメモリなど、必要な部品を1枚の基板にまとめた小型のコンピュータ。|Raspberry Pi。
汎用コンピュータ|会社の基幹業務など、さまざまな用途に使われる大型のコンピュータ。メインフレームともいう。
制御用コンピュータ|工場の機械や設備などを、制御するために使うコンピュータ。
マイクロコンピュータ|CPUを中心に、メモリや入出力機能を小さくまとめたコンピュータ。
コンピュータの五大装置|制御・演算・記憶・入力・出力の、5つの装置。
ワイヤドロジック制御方式|命令の実行の制御を、専用の論理回路(配線)で実現する方式。高速だが変更しにくい。
マイクロプログラム制御方式|命令の実行の制御を、マイクロプログラムで実現する方式。変更しやすい。
アキュムレーター|演算の結果や、演算するデータを一時的に保持するレジスタ。累算器ともいう。
補数器|数の補数を求める回路。引き算を足し算で行うために使う。
命令アドレスレジスタ|次に実行する命令の、アドレスを保持するレジスタ。プログラムカウンタともいう。
デコーダ|命令を解読して、どの動作をするかを判断する回路。
汎用レジスタ|演算のデータやアドレスなど、さまざまな用途に使えるレジスタ。
インデックスレジスタ|アドレスの修飾に使う値を保持する、レジスタ。
ベースレジスタ|基準となるアドレス(ベースアドレス)を保持するレジスタ。
スタックポインタ|スタック領域の、最後に積んだ位置を示すレジスタ。
命令の実行手順|命令を取り出し、解読し、オペランドを読み、実行し、結果を書き込むという一連の流れ。
アドレス修飾|命令に書かれたアドレスに、レジスタの値などを加えて、実際のアドレスを求めること。
算術演算命令|足し算や引き算など、算術演算を行う命令。
論理演算命令|論理積や論理和など、論理演算を行う命令。
転送命令|レジスタとメモリの間で、データを移す命令。
比較命令|2つの値を比べる命令。
分岐命令|次に実行する命令の場所を、切り替える命令。
シフト命令|データのビットを、左右にずらす命令。
入出力命令|入出力装置との間で、データをやり取りする命令。
内部割込み|プログラムの実行中の誤りなど、CPUの内部の原因で起こる割込み。
外部割込み|タイマや、操作者の操作など、CPUの外部からの割込み。
