仕訳帳|日々の取引を、発生した順に、記録する帳簿。
総勘定元帳|すべての勘定科目ごとに、取引を、まとめて記録する、主要な帳簿。
試算表|総勘定元帳の、集計が、正しいかを確認するために作る、一覧表。
精算表|決算の手続きを、進めるために、試算表から、財務諸表を作る過程を、まとめた表。
決算短信|上場企業が、決算の内容を、速報として、発表する書類。
のれん|企業を買収したときの、買収価格と、純資産との差額。
IFRS|世界共通の、会計の基準。国際財務報告基準。
流動資産|現金や、売掛金など、1年以内に現金化される資産。
固定資産|建物や設備など、長期間、使用する資産。
繰延資産|支出した費用のうち、将来の収益に貢献するとして、資産に計上したもの。
流動負債|買掛金など、1年以内に、支払う必要のある負債。
固定負債|長期借入金など、返済が、1年を超える負債。
株主資本|株主が、出資した資金と、会社が、稼いだ利益の、蓄積。
収益|事業活動によって、得られた、収入。
販売費及び一般管理費|商品の販売や、会社の管理に、かかる費用。
営業外損益|本業以外の、活動による、収益や費用。
特別損益|臨時的に、発生した、損益。
会計基準|会計処理の、ルールを定めた基準。
財務指標|企業の、財務状況を、評価するための、指標。
収益性指標|企業が、どれだけ、効率よく、利益を上げているかを示す指標。
ROA|総資産に対して、どれだけ、利益を上げたかを示す指標。総資産利益率。
安全性指標|企業の、支払い能力や、財務の安定性を示す指標。
経済性計算|投資などの、経済的な、有利さを、金額で評価すること。
キャッシュフロー経営|現金の、流れを重視して、行う経営。
キャッシュマネジメント|企業の現金を、効率よく管理・運用すること。
棚卸資産評価|在庫の、価値を、決められた方法で、評価すること。
先入先出法|先に、仕入れたものから、先に払い出したと、みなして、在庫を評価する方法。
総平均法|一定期間の、仕入れの平均単価で、在庫を評価する方法。
オフバランス|資産や、負債を、貸借対照表に、載せないこと。
知的財産戦略本部|日本の、知的財産の、政策を推進する、政府の組織。
知的財産基本法|知的財産の、創造・保護・活用に関する、基本的な事項を定めた法律。
回路配置利用権|半導体集積回路の、回路配置を、保護する権利。
著作者人格権|著作者の、人格的な、利益を守る権利。譲渡できない。
著作財産権|著作物から、得られる、経済的な利益を守る権利。譲渡できる。
二次的著作物|既存の、著作物を、翻訳や、編曲などにより、新しく作った著作物。
送信可能化|インターネットなどで、誰もが、受信できる状態にすること。
引用|一定の条件のもとで、他人の著作物を、自分の著作物に取り入れること。
情報解析|大量の情報から、必要な情報を、抽出・分析すること。
私的使用|個人的に、または家庭内で、著作物を、使用すること。
非享受利用|著作物の内容を、楽しむことを、目的としない利用。
図書館|一定の条件で、著作物の、複製などが、認められている施設。
教育機関|教育の目的で、一定の条件で、著作物を使うことが認められている、機関。
試験問題|試験や、検定の、問題として、著作物を使うこと。
発明|自然法則を利用した、技術的な、新しいアイデアで、高度なもの。
考案|自然法則を利用した、技術的な、アイデア。実用新案の対象。
意匠|物の、形や、模様、色などの、デザイン。
商標|商品やサービスを、他と区別するための、名前やマーク。
ソフトウェア特許|ソフトウェアに関する、発明に対する特許。
ビジネス方法の特許|ITを使った、ビジネスの方法に関する発明に対する特許。
ドメイン名の不正取得|他社の名前などに似せた、ドメイン名を、不正な目的で取得すること。
コピープロテクト外し|複製を防ぐための、仕組みを、無効にすること。
サイバーセキュリティ|サイバー空間における、情報の、機密性・完全性・可用性を、守ること。
電磁的方式|電気的・磁気的な、方法で、情報を扱う方式。
電磁的記録媒体|電気的・磁気的な方法で、情報を、記録する媒体。
サイバーセキュリティ戦略|サイバーセキュリティに関する、国の、基本的な計画。
基本理念|法律などが、目指す、根本的な考え方。
サイバーセキュリティ協議会|官民の関係者が、サイバーセキュリティに関する情報を、共有するための、組織。
アクセス制御機能|利用者の、認証などによって、アクセスを制限する機能。
不正アクセス行為|他人の、IDなどを、使って、システムに、不正にアクセスすること。
不正アクセス行為を助長する行為|他人のIDやパスワードを、不正に提供し、不正アクセスを助ける行為。
不正指令電磁的記録に関する罪|コンピュータウイルスの、作成や、提供、取得などを処罰する罪。
電子計算機使用詐欺罪|コンピュータに、虚偽の情報を与えて、不正な利益を得る罪。
電子計算機損壊等業務妨害罪|コンピュータや、データを、壊すなどして、業務を妨害する罪。
電磁的記録不正作出及び供用罪|権利や、義務に関する、電子データを、偽造して、使う罪。
支払用カード電磁的記録不正作出等罪|クレジットカードなどの、電磁的記録を、不正に作る罪。
個人情報保護に関するガイドライン|個人情報を、適切に取り扱うための、指針。
個人情報取扱事業者|個人情報を、事業のために、データベースなどにして、利用している事業者。
安全管理措置|個人データの、漏えいなどを、防ぐために、講じる措置。
