@meta ソフトウェア編|コンピュータシステム > ソフトウェア|基本情報技術者試験「コンピュータシステム」の中のソフトウェアの用語集です。OS、ファイルシステム、オープンソースソフトウェアまで含みます。
@group オペレーティングシステム|コンピュータ全体を管理する基本ソフトに関する用語
OS|ハードウェアを管理し、アプリケーションが動く土台となる基本ソフトウェア。|Windows、macOS、Linux。
カーネル|OSの中心となる部分で、CPUやメモリなどの資源管理を担う。
ミドルウェア|OSとアプリケーションの間に入って、共通の機能を提供するソフトウェア。|データベース管理システム。
アプリケーションソフトウェア|文書作成や表計算など、利用者が目的の作業に使うソフトウェア。
ジョブ管理|ジョブ(仕事のまとまり)の実行順序や流れを管理するOSの機能。
タスク管理|プログラムの実行単位(タスク)にCPUを割り当てて管理するOSの機能。
プロセス|実行中のプログラム。OSが資源を割り当てて管理する単位。
スレッド|プロセスの中で並行して動く、より小さな処理の流れ。
マルチタスク|複数のプログラムを、切り替えながら同時に動かすこと。
実行可能状態|CPUを割り当てられれば、すぐ実行できる状態のタスク。レディ状態ともいう。
実行状態|CPUが割り当てられ、実行されている状態のタスク。
待ち状態|入出力の完了などを待って、実行できない状態のタスク。
ディスパッチ|実行可能状態のタスクにCPUを割り当てること。
プリエンプション|実行中のタスクからCPUを取り上げ、別のタスクに割り当てること。
@group スケジューリング|タスクの実行順序を決める方式に関する用語
到着順方式|タスクが到着した順にCPUを割り当てる方式。FCFSともいう。
処理時間順方式|処理時間の短いタスクから先に実行する方式。
ラウンドロビン方式|一定時間(タイムスロット)ずつ順番にCPUを割り当てる方式。
優先度順方式|タスクに付けた優先度が高いものから実行する方式。
@group 記憶管理|メモリの使い方に関する用語
ページ置換え|主記憶がいっぱいのとき、追い出すページを選んで入れ替えること。
FIFO方式|最も早く読み込まれたページを追い出す方式。
LRU方式|最も長い間使われていないページを追い出す方式。
フラグメンテーション|記憶領域が細かく分断され、空き領域を有効に使えなくなること。
メモリリーク|使い終わったメモリが解放されず、使える領域が減っていく不具合。
@group 排他制御|複数の処理が同じ資源を使うときの制御に関する用語
排他制御|同じ資源を複数の処理が同時に書き換えないよう、順番に使わせる制御。
ロック|資源を使っている間、他の処理から使えなくする仕組み。
デッドロック|複数の処理が、お互いに相手の持つ資源の解放を待って、永久に進めなくなる状態。
セマフォ|資源の利用可能数を管理して、排他制御を行う仕組み。
@group ファイルシステム|ファイルの管理に関する用語
ファイルシステム|データをファイルとして名前を付けて保存・管理する仕組み。
ディレクトリ|ファイルをまとめて整理する入れ物。フォルダともいう。
ルートディレクトリ|階層構造の最上位にあるディレクトリ。
絶対パス|ルートディレクトリから目的のファイルまでを、すべて書いた指定方法。
相対パス|現在いる場所(カレントディレクトリ)を起点にして、目的のファイルを指定する方法。
カレントディレクトリ|いま作業の基準となっているディレクトリ。
バックアップ|ファイルの故障や誤操作に備え、コピーを別の場所に保存しておくこと。
フルバックアップ|すべてのデータを丸ごとバックアップする方法。
差分バックアップ|前回のフルバックアップからの変更分だけをバックアップする方法。
増分バックアップ|前回のバックアップからの変更分だけをバックアップする方法。
@group オープンソースソフトウェア|ソースコードが公開されたソフトウェアに関する用語
OSS|ソースコードが公開され、誰でも利用・改変・再配布できるソフトウェア。
Linux|OSSとして開発されているOSのひとつ。サーバで広く使われている。
Apache|OSSのWebサーバソフトウェア。
MySQL|OSSのリレーショナルデータベース管理システム。
Firefox|OSSのWebブラウザ。
GPL|OSSのライセンスの一つ。改変して再配布する場合も、同じ条件で公開しなければならない。
