@meta サービスマネジメント編|マネジメント > サービスマネジメント|基本情報技術者試験「マネジメント」の中のサービスマネジメントの用語集です。運用管理、サービスの管理、ファシリティの管理まで含みます。
@group サービスマネジメントの基本|ITサービスの考え方に関する用語
サービスマネジメント|ITサービスを、顧客の求める品質で継続的に提供するための管理。
ITIL|ITサービスマネジメントの、成功事例をまとめたガイドライン。
ISO/IEC 20000|ITサービスマネジメントの、国際規格。
サービスデスク|利用者からの問合せや要望の窓口となる部署。
SLA|サービスの内容や品質の水準を、提供者と利用者の間で取り決めた合意。
SLM|SLAに基づいて、サービスの品質を維持・改善する活動。
サービスカタログ|提供するサービスの内容を、利用者が分かるようにまとめた一覧。
サービスレベル|提供するサービスの品質の水準。|稼働率99.9%以上など。
サービスの継続|災害などが起きても、サービスを止めないための取組み。
@group サービスの運用|日々の運用に関する用語
インシデント|サービスの中断や品質の低下など、通常の運用を妨げる出来事。
インシデント管理|インシデントから、できるだけ早くサービスを復旧させるための管理。
問題管理|インシデントの根本の原因を突き止めて、再発を防ぐための管理。
変更管理|サービスへの変更が、安全に行われるように管理すること。
リリース管理|変更したものを、本番環境へ展開する作業を管理すること。
構成管理|サービスを構成する機器やソフトウェアの情報を管理すること。
CMDB|サービスの構成要素と、その関係の情報を蓄積したデータベース。構成管理データベースともいう。
キャパシティ管理|必要な処理能力を予測し、資源を適切に用意すること。
可用性管理|サービスが、必要なときに利用できるように管理すること。
ITサービス継続性管理|災害や大きな障害の時にも、サービスを継続、または早期復旧できるようにする管理。
セキュリティ管理|サービスに関する、情報セキュリティを管理すること。
サービス要求|利用者からの、情報提供や設定変更などの依頼。
根本原因|問題が起きた、本当の原因。
恒久対策|問題を、根本から解決するための対策。
暫定対策|一時的に、影響を抑えるための対策。
@group システムの運用|システムを動かす作業に関する用語
システム運用|システムを、安定して動かし続けるための日々の作業。
運用管理|システムの運用を、計画的に管理すること。
ジョブ運用|バッチ処理などのジョブを、計画的に実行・管理すること。
バッチ処理|データをある程度まとめて、一括して処理する方式。
オンライン処理|利用者の要求に応じて、その場で即座に処理する方式。
監視|システムの稼働状況や、障害の有無を常に確認すること。
運用手順書|運用の作業を、誰が行っても同じようにできるよう、手順を記したもの。
バックアップ運用|データを、定期的に複製して保管する運用。
ヘルプデスク|利用者の、問合せなどに対応する窓口。
ログ|システムの動作や利用の状況を、記録したもの。
オペレーション|システムの操作や、運用の作業。
@group ファシリティマネジメント|設備や環境の管理に関する用語
ファシリティマネジメント|建物や設備などの施設を、最適な状態で維持・管理すること。
データセンタ|多数のサーバやネットワーク機器を、専用の施設で管理する拠点。
UPS|停電時などに、一時的に電力を供給し続ける無停電電源装置。
自家発電装置|停電が長引いたときに、電気を作り出す装置。
入退室管理|建物や部屋への、人の出入りを管理すること。
耐震・免震|地震の揺れに耐える、または揺れを建物に伝えにくくする構造。
空調管理|機器の熱による障害を防ぐため、温度や湿度を適切に保つこと。
