情報システム戦略評価|情報システム戦略の、達成度や、効果を、評価すること。
システム構築・運用のための標準化方針及び品質方針|システムの、構築や運用の、進め方や、品質に関する、組織の方針。
CDO|データや、デジタル活用を、統括する、最高デジタル責任者(最高データ責任者)。
情報システム戦略委員会|情報システムの戦略を、審議し、決める委員会。
情報システム部門|組織の、情報システムの、企画・開発・運用を担当する部門。
情報システム投資方針|情報システムへの、投資に関する、基本的な考え方。
IT投資マネジメント|ITへの、投資を、計画・評価・管理すること。
基幹系システム|会計や販売など、企業の、中核となる業務を支える、システム。
KMS|組織の知識を、蓄積・共有するための、システム。ナレッジマネジメントシステム。
エンタープライズサーチ|組織内の、さまざまな情報を、横断的に、検索できる仕組み。
ビジネスモデル|企業が、どのように価値を生み、利益を得るかの、仕組み。
業務モデル|業務の、流れや、構造を、表したモデル。
情報システムモデル|情報システムの、構成を、表したモデル。
ザックマンフレームワーク|企業のアーキテクチャを、6つの視点と、6つの観点で整理した枠組み。
業務・システム最適化|業務とシステムを、全体として、最適な形に整えること。
As-isモデル|現状の、業務やシステムの姿を、表したモデル。
To-beモデル|あるべき将来の、業務やシステムの姿を、表したモデル。
業務説明書|業務の内容や、流れを、説明した文書。
WFA|業務の、流れを、図に表す手法。ワークフロー分析。
データ定義表|データの項目や、意味を、定義した表。
情報体系整理図|組織で扱う、情報を、体系的に整理した図。
情報システム関連図|情報システム同士の、関係を、表した図。
情報システム機能構成図|情報システムの、機能の構成を、表した図。
SOA|システムを、サービスという、部品の組合せで、構築する設計の考え方。
ハードウェア構成図|システムの、ハードウェアの構成を、表した図。
ソフトウェア構成図|システムの、ソフトウェアの構成を、表した図。
ネットワーク構成図|システムの、ネットワークの構成を、表した図。
COBIT|ITガバナンスと、ITの管理に関する、フレームワーク。
KGI|最終的な目標が、どれだけ達成されたかを、測る指標。
KPI|目標に向けた、プロセスの達成度を、測る指標。
品質統制フレームワーク|品質を、統制するための、枠組み。
管理プロセス|管理の、ために行う、一連の手順。
モニタリング指標|状況を、継続して監視するための、指標。
差異分析|計画と、実績との差を、分析すること。
プロセスの可視化／標準化／自動化|業務の手順を、見える化し、統一し、自動化すること。
BPMS|業務プロセスを、継続的に、分析・改善するための、ソフトウェア。
BPO|業務プロセスの、一部を、外部の専門業者へ、委託すること。
オフショア|開発などの業務を、海外の企業に、委託すること。
ソリューションプロバイダ|顧客の課題を、解決するための、システムやサービスを提供する事業者。
業務システム提案|業務を、改善するシステムを、顧客に提案すること。
業務パッケージ|特定の業務に、向けて作られた、市販のソフトウェア。
問題解決支援|顧客の問題を、解決するための、支援。
システムインテグレーション|システムを、企画・設計・開発・運用まで、一括して、請け負うこと。
クラウドサービス|インターネット経由で、提供される、コンピュータ資源のサービス。
パブリッククラウド|不特定多数が、共同で利用する、クラウド。
プライベートクラウド|特定の組織だけが、利用する、専用のクラウド。
ハイブリッドクラウド|パブリッククラウドと、プライベートクラウドを、組み合わせて使う形態。
ソブリンクラウド|データを、特定の国や地域の中で管理し、その国の法規制に従うクラウド。
クラウドネイティブ|クラウドの、特性を、最大限に生かして、設計・開発するという考え方。
クラウドバイデフォルト|システムを、導入するとき、まずクラウドの利用を、検討するという方針。
アウトソーシングサービス|業務や、システムの運用を、外部の事業者が、受託するサービス。
ホスティングサービス|事業者の、サーバを、借りて利用するサービス。
ハウジングサービス|事業者の設備に、顧客の機器を、預けて運用するサービス。
オンプレミス|自社の施設内に、サーバなどを置いて、運用する形態。
CRMソリューション|顧客との関係を、管理・強化するための、システムやサービス。
セキュリティソリューション|セキュリティの、課題を、解決するための、システムやサービス。
BYOD|従業員が、私物の端末を、業務に使うこと。
チャットボット|会話形式で、問合せなどに、自動で応答するプログラム。
ITリテラシー|ITを、適切に、使いこなすための、知識や能力。
メディアリテラシー|情報を、正しく読み解き、活用する、能力。
セキュリティ意識|情報セキュリティの、重要性を、理解して行動する意識。
利用者マニュアル|システムの、利用者向けの、操作手順を説明した、マニュアル。
業務マニュアル|業務の、進め方を、説明した、マニュアル。
e-ラーニング|インターネットなどを、利用して行う、学習。
講習会|知識や、技能を伝えるために、行う集まり。
人材育成計画|必要な人材を、育てるための計画。
ゲーミフィケーション|ゲームの、要素を、ゲーム以外の場面に取り入れ、意欲を高める手法。
デジタルディバイド|情報技術を、使える人と、使えない人の間に生じる、格差。
ログ分析|システムの、記録(ログ)を、分析して、問題や傾向を見つけること。
ログ監視|ログを、継続して監視し、異常を検知すること。
学習マネジメントシステム|学習の、進捗や成績を、管理するための、システム。LMSともいう。
システムライフサイクル|システムの、企画から、廃棄までの、一生の流れ。
情報セキュリティポリシー|組織の、情報セキュリティに関する、基本方針と対策基準。
データの消去|不要になった、データを、確実に消すこと。
