インターネットサービスプロバイダ|利用者を、インターネットに接続するサービスを提供する事業者。ISPともいう。
従量制|使った量(通信量や時間)に応じて、料金が決まる課金方式。
月額固定料金|使用量に関わらず、毎月決まった額を支払う課金方式。
IDF|建物の、各フロアなどにある、配線を分岐・中継するための設備。
MDF|建物の、外部の回線を引き込み、全体の配線を集約する設備。
パケット交換網|データを、パケットに分けて、送るネットワーク。
回線交換網|通信の間、送信元と宛先の間で、回線を占有するネットワーク。
センサーネットワーク|多数のセンサーが、無線でつながり、情報を集めるネットワーク。
同軸ケーブル|中心の導線を、絶縁体と外側の導体で包んだ、ケーブル。
より対線|2本の導線を、ねじり合わせて、ノイズの影響を減らしたケーブル。LANケーブルに使う。
光ファイバケーブル|光の信号で、データを送る、細いガラス繊維のケーブル。高速で遠くまで送れる。
電波|無線通信で、情報を運ぶ、電磁波。
赤外線|近距離の通信などに使われる、目に見えない光。
無線LANアクセスポイント|無線LANの機器を、有線のネットワークにつなぐ装置。
SSID|無線LANの、ネットワークを識別するための名前。
パケット|通信するデータを、細かく区切った、小さな単位。宛先などの情報が付く。
VoIP|音声を、パケットに変換して、IPネットワークで通話する技術。
転送速度|データを、1秒間にどれだけ送れるかを表す、速さ。
回線容量|回線が、単位時間に、送れるデータの、最大量。
ビット誤り率|送信したビットの中で、誤って受信されたビットの割合。
呼量|通信回線の、混雑の度合いを表す量。
アーラン|呼量の単位。1本の回線を、1時間ずっと使い続けたときが、1アーラン。
アドレスクラス|IPv4アドレスを、ネットワーク部の大きさによって、A〜Eに分けた区分。
NAPT|IPアドレスに加えて、ポート番号も変換して、複数の端末が1つのグローバルIPアドレスを共有する技術。
オーバーレイネットワーク|既存のネットワークの上に、仮想的に作られる、別のネットワーク。
ドメイン|インターネット上で、組織などを識別する、名前の領域。
TLD|ドメイン名の、最上位の部分。|.com、.jp。
QoS|通信の種類ごとに、優先度をつけて、必要な品質を確保する仕組み。
RADIUS|ネットワークの、利用者の認証と、利用の記録を行うためのプロトコル。
ネットワークトポロジ|ネットワークの、接続形態。
ポイントツーポイント|2つの機器を、1対1で直接つなぐ、接続形態。
ツリー型|機器を、木の枝のように、階層的につなぐ接続形態。
単方向|データが、一方向にしか、流れない通信方式。
半二重|送信と受信を、交互に行う通信方式。
全二重|送信と受信を、同時に行える通信方式。
WDM|1本の光ファイバに、異なる波長の光を、多重化して送る技術。
TDMA|時間を分割して、複数の端末が、順番に通信路を使う方式。
回線交換|通信の間、回線を占有する、交換方式。
パケット交換|データを、パケットに分けて、宛先まで送る交換方式。
公衆回線|通信事業者が、不特定多数の人へ提供する、通信回線。
専用線|特定の利用者だけが、使える、通信回線。
回線接続装置|通信回線と、コンピュータを、つなぐための装置。モデムなど。
レイヤー2スイッチ|MACアドレスを見て、データを中継するスイッチ。
レイヤー3スイッチ|IPアドレスを見て、データを中継するスイッチ。
リバースプロキシサーバ|外部からの要求を、代理で受けて、内部のサーバへ中継するサーバ。
スパニングツリー|ネットワークのループを防ぎつつ、冗長な経路を保つための仕組み。
データリンク制御|隣り合う機器の間で、データを、正しく届けるための制御。
ルーティング制御|データを、宛先まで届けるための、経路を選ぶ制御。
フロー制御|受信側が処理できる量に、送信側の送る速度を合わせる制御。
ベーシック手順|文字単位で通信を制御する、古い通信手順。
コンテンション方式|端末が、自由に送信を試みて、衝突が起きたら再送する方式。
ポーリング／セレクティング方式|親局が、順番に子局へ問合せをして、送受信の許可を与える方式。
HDLC|ビットの列を、フレームにして送る、データリンク層のプロトコル。
マルチリンク手順|複数の回線を、まとめて、1つの論理的な回線として使う手順。
交換方式|通信の相手と、回線をつなぐ方式。
コネクション方式|通信の前に、接続を確立してから、データを送る方式。
コネクションレス方式|接続を確立せず、データを、そのまま送る方式。
パリティチェック|ビットの、1の個数を、偶数または奇数にそろえて、誤りを検出する方法。
CRC|送信データから、計算した検査値を付け、受信側で、誤りを検出する方式。
SYN同期|同期用の、決まったビットパターンで、送受信のタイミングを、合わせる方式。
フラグ同期|決まったビットパターンで、フレームの区切りを示す同期方式。
フレーム同期|フレームの、開始位置を、送受信の間で、合わせる同期方式。
CSMA/CD|LANで、誰も使っていないことを確認してから送信し、衝突したら再送する方式。
ヘッダー|データの先頭に付ける、宛先や制御などの、情報。
PPP|2点間を、直接接続して、通信するプロトコル。
PPPoE|Ethernet上で、PPPを使い、認証などを行う方式。
IPoE|認証を使わず、直接IPで、インターネットに接続する方式。
VLAN|物理的な配線とは、無関係に、スイッチ内で、論理的にネットワークを分割する技術。
サブネットアドレス|大きなネットワークを、分割した、小さなネットワーク(サブネット)のアドレス。
物理アドレス|ネットワーク機器に、割り当てられた、固有のアドレス。MACアドレスのこと。
ユニキャスト|1対1で、特定の相手にだけ、データを送る通信。
ブロードキャスト|同じネットワークの、すべての機器に、データを送る通信。
マルチキャスト|特定のグループに属する機器だけに、データを送る通信。
CIDR|クラスを使わず、サブネットマスクの長さで、ネットワークを表す方式。
POP|メールサーバから、メールを受信するプロトコル。POP3のこと。
TELNET|ネットワーク経由で、他のコンピュータを、遠隔操作するプロトコル。暗号化されない。
IMAP|メールを、サーバに残したまま、閲覧・管理するプロトコル。
HTTP/2|HTTPの、通信を、効率化したバージョン。
HTTP/3|UDPを使うQUICの上で動く、HTTPのバージョン。
10BASE-T|より対線を使った、10Mbpsの、Ethernetの規格。
100BASE-TX|より対線を使った、100Mbpsの、Ethernetの規格。
1000BASE-T|より対線を使った、1Gbpsの、Ethernetの規格。
10GBASE-T|より対線を使った、10Gbpsの、Ethernetの規格。
IEEE802.11a/b/g/n/ac/ax|無線LANの規格。ax(Wi-Fi 6)が、新しく、高速。
Wi-Fi4/5/6/6E|無線LANの世代を、分かりやすく表した名称。数字が大きいほど、新しく高速。
メッシュWi-Fi|複数の機器が、網の目状に連携して、広い範囲で、安定した無線LANを提供する仕組み。
ネットワーク構成|ネットワークを構成する、機器や接続の、全体像。
バージョン|ソフトウェアや規格などの、版。
OpenFlow|SDNで、スイッチの動作を、外部から制御するためのプロトコル。
情報収集|障害の切分けのために、状況の情報を集めること。
障害の切分け|障害が、どの部分で起きているかを、絞り込むこと。
障害原因の特定|障害の、原因を、突き止めること。
復旧措置|障害から、システムを、元に戻すための、対応。
記録|障害の経過や、対応などを、記録に残すこと。
死活監視|機器やサービスが、動いているかどうかを、定期的に確認すること。
トラフィック監視|ネットワークを、流れるデータの量を、監視すること。
ping|相手の機器へ、パケットを送り、応答の有無や時間を調べるコマンド。
ifconfig|ネットワークインタフェースの、設定や状態を確認するコマンド。
arp|IPアドレスとMACアドレスの、対応表を表示・操作するコマンド。
netstat|ネットワークの、接続状態や通信の統計を表示するコマンド。
