@meta ユーザーインタフェース・情報メディア編|技術要素 > ユーザーインタフェースと情報メディア|基本情報技術者試験「技術要素」の中のユーザーインタフェースと情報メディアの用語集です。画面設計、Webデザイン、マルチメディアの技術まで含みます。
@group ユーザーインタフェース|人がコンピュータを使うときの接点に関する用語
ユーザーインタフェース|利用者とコンピュータの間で、情報をやり取りする接点や仕組み。UIともいう。
GUI|アイコンやウィンドウをマウスなどで操作する、視覚的なユーザーインタフェース。
CUI|キーボードから文字で命令を入力して操作する、ユーザーインタフェース。
UX|製品やサービスを使うときに、利用者が得る体験全体のこと。
ユーザビリティ|使いやすさ。利用者が目的を、効率よく満足に達成できる度合い。
アクセシビリティ|高齢者や障害のある人を含め、誰もが情報や機能を利用できる度合い。
ユニバーサルデザイン|年齢や能力にかかわらず、できるだけ多くの人が使えるように設計する考え方。
ウィジェット|ボタンやチェックボックスなど、画面を構成する部品。
メニュー|操作の選択肢を一覧にして見せる画面部品。
ラジオボタン|複数の選択肢から、1つだけ選ぶための部品。
チェックボックス|複数の選択肢から、いくつでも選べる部品。
プルダウンメニュー|クリックすると選択肢が下に表示される部品。
UIデザイン|画面の配置や色など、使いやすい画面を設計すること。
レスポンシブデザイン|画面の大きさに応じて、表示の配置を自動的に調整するWebデザイン。
@group 画面・帳票設計|画面や帳票の設計に関する用語
画面設計|入力や表示のための画面を設計すること。
帳票設計|請求書や納品書などの書類の様式を設計すること。
入力チェック|入力された値が、正しい形式かどうかを確かめること。
コード設計|物や人を管理しやすいように、番号や記号(コード)の付け方を決めること。
チェックディジット|コードの入力誤りを見つけるために、末尾に付ける検査用の数字。
順番コード|データに、連続した番号を順番に付けるコード。
桁別コード|桁ごとに意味を持たせたコード。
ニモニックコード|コードを見ただけで内容を連想できるように、文字を使ったコード。
@group Webデザイン|Webサイトの設計に関する用語
Webデザイン|Webサイトの見た目や使いやすさを設計すること。
ハイパーリンク|Webページの文字や画像から、ほかのページへ移動できるようにした仕組み。
Cookie|Webサイトが、利用者の情報をブラウザに一時的に保存する仕組み。
Webアクセシビリティ|障害の有無や利用環境にかかわらず、Webの情報を利用できること。
SEO|検索エンジンで、Webサイトが上位に表示されやすくする工夫。
@group マルチメディア|文字・画像・音声・動画を扱う技術に関する用語
マルチメディア|文字、音声、画像、動画などを組み合わせて扱う技術。
ビットマップ画像|画像を、画素(ピクセル)の点の集まりで表現する形式。拡大すると粗くなる。
ベクタ画像|画像を、点や線などの数式で表現する形式。拡大しても粗くならない。
JPEG|写真などに向く、静止画の圧縮形式。圧縮すると画質が劣化する(非可逆圧縮)。
GIF|256色まで扱える、簡単なアニメーションもできる静止画の圧縮形式。
PNG|画質を劣化させず(可逆圧縮)に圧縮でき、透明も扱える静止画の形式。
MPEG|動画や音声のデータを圧縮する規格の総称。
MP3|音楽などの音声データを圧縮する形式。
MP4|動画や音声などを1つにまとめて格納するファイル形式。
ストリーミング|ダウンロードの完了を待たず、受信しながら再生する配信方式。
圧縮|データの大きさを、小さくすること。
可逆圧縮|圧縮したものを、元のデータと全く同じに戻せる圧縮方式。
非可逆圧縮|圧縮すると、元のデータには完全に戻せない圧縮方式。
画素|画像を構成する、最小の点。ピクセルともいう。
フレームレート|動画で、1秒あたりに表示する画像(フレーム)の枚数。単位はfps。
色の三原色(光)|光の色を表す赤・緑・青の3色。RGBともいう。
色の三原色(色材)|インクなどの色を表すシアン・マゼンタ・イエローの3色。CMYともいう。
@group 情報メディアの応用|新しい情報技術に関する用語
CG|コンピュータを使って作った画像や映像。
AR|現実の景色に、コンピュータの情報を重ねて表示する技術。拡張現実ともいう。
VR|コンピュータで作った世界を、現実のように体験させる技術。仮想現実ともいう。
MR|現実の世界と仮想の世界を融合させ、相互に影響し合うようにする技術。複合現実ともいう。
モーションキャプチャ|人の動きを取り込んで、コンピュータ上のキャラクタに反映させる技術。
