真正性|利用者や情報が、主張どおりの本物であること。
責任追跡性|いつ、誰が、何をしたかを、後から追跡できること。
否認防止|後になって、行為や送信をしていないと、否定されないようにすること。
多層防御|複数の異なる対策を、重ねて、1つが破られても被害を防ぐ考え方。
セキュリティバイデザイン|システムの企画・設計の、段階から、セキュリティを組み込む考え方。
プライバシーバイデザイン|企画・設計の段階から、個人のプライバシーの保護を、組み込む考え方。
サイバー攻撃|ネットワークを通じて、システムなどに、不正な攻撃をしかけること。
事故|意図しない出来事による、損害。
災害|地震や火災など、自然や人為による、大きな被害。
故障|機器やシステムが、正常に動かなくなること。
破壊|機器やデータなどを、壊してしまうこと。
盗難|機器や情報などを、盗まれること。
侵入|許可なく、建物やシステムに入り込むこと。
不正アクセス|権限のない人が、システムに、アクセスすること。
エラー|入力や処理の、誤りによる、不具合。
クラッキング|悪意を持って、システムに侵入し、破壊や改ざんなどを行うこと。
ビジネスメール詐欺|取引先などを装った、偽のメールで、金銭をだまし取る詐欺。BECともいう。
誤操作|操作を、間違えてしまうこと。
アクセス権の誤設定|アクセスを許可する範囲を、誤って設定してしまうこと。
紛失|機器や媒体などを、なくしてしまうこと。
破損|機器や媒体などが、壊れてしまうこと。
盗み見|画面や書類を、こっそり見ること。
不正利用|許可されていない目的や方法で、システムを使うこと。
情報漏えい|秘密の情報が、外部に、もれること。
故意|わざと行うこと。
過失|不注意で、してしまうこと。
誤謬|意図せず生じる、誤り。
内部不正|組織の内部の人間が、行う、不正。
妨害行為|システムの運用や、業務などを、妨げる行為。
SNSの悪用|SNSを、なりすましなどの、不正な目的で使うこと。
踏み台|攻撃者が、別の攻撃のために、乗っ取って利用する、コンピュータ。
迷惑メール|受信者の、意向に関わらず、大量に送られてくる、電子メール。
AIに対する脅威|AIシステムを、だます・誤動作させるなど、AIを標的にした脅威。
マクロウイルス|文書ファイルなどの、マクロ機能を悪用して、感染するウイルス。
ボットネット|ボットに感染した、多数のコンピュータで、作られたネットワーク。
RAT|遠隔操作によって、感染したコンピュータを、操るマルウェア。
C&Cサーバ|ボットなどに対して、攻撃者が、指令を出すために使うサーバ。
キーロガー|キーボードの入力を、記録して、盗み取るソフトウェア。
ルートキット|侵入の痕跡を隠し、不正な操作を、続けるためのツールの総称。
バックドア|正規の認証を通さずに、システムへ入れるように、仕掛けられた入口。
ステルス技術|マルウェアが、検知や発見を、逃れるために使う技術。
ファイルレスマルウェア|ファイルを残さず、メモリ上だけで、動作するマルウェア。
バグ|プログラムの、誤りや不具合。
セキュリティホール|ソフトウェアなどにある、セキュリティ上の欠陥。
人的脆弱性|人の、不注意や、知識不足などから生じる、弱点。
内部統制の不備|内部統制の、仕組みに、欠けや不十分な点があること。
シャドーIT|組織が把握していない状態で、従業員が業務に使っている、IT機器やサービス。
不正のトライアングル|動機・機会・正当化の3つがそろうと、不正が起こるという考え方。
状況的犯罪予防|犯罪が起こりにくい環境を、作ることで、犯罪を防ぐ考え方。
割れ窓理論|小さな乱れを放置すると、より大きな問題を招くという考え方。
防犯環境設計|建物や環境を、工夫して、犯罪を起こしにくくする設計。
内部犯|組織の内部の者による、犯行。
愉快犯|いたずらや、注目を集める目的で、行う犯行。
詐欺犯|人をだまして、金銭や情報を得ようとする犯行。
故意犯|わざと、行う犯行。
ダークウェブ|通常の検索や、ブラウザでは、アクセスできない、匿名性の高いネットワーク。
金銭奪取|金銭を、不正に得ること。
二重脅迫|データの暗号化に加えて、盗んだ情報の公開も、ちらつかせて、金銭を要求する手口。
サイバーテロリズム|重要なインフラなどに対する、サイバー攻撃を使った、テロ行為。
サイバーキルチェーン|標的型攻撃を、偵察から目的達成までの、段階に分けて表したモデル。
総当たり攻撃|考えられるすべての組合せを、試して、パスワードなどを破る攻撃。
リバースブルートフォース攻撃|パスワードを固定し、IDのほうを、次々に変えて試す攻撃。
クリックジャッキング|透明な部品を重ねて、利用者に気づかれないよう、意図しないクリックをさせる攻撃。
ドライブバイダウンロード|Webサイトを、閲覧しただけで、マルウェアをダウンロード・感染させられる攻撃。
OSコマンドインジェクション|入力欄などに、不正な命令を入れて、OSのコマンドを、実行させる攻撃。
ディレクトリトラバーサル|不正なパス指定で、公開されていないファイルに、アクセスする攻撃。
バッファオーバーフロー攻撃|メモリの領域を、あふれさせて、不正な処理を実行させる攻撃。
MITB攻撃|ブラウザに、感染したマルウェアが、通信の内容を書き換える攻撃。
第三者中継|メールサーバなどが、無関係な第三者のメールを、中継してしまうこと。
IPスプーフィング|送信元のIPアドレスを、偽って、なりすます攻撃。
DNSキャッシュポイズニング|DNSサーバの、キャッシュに、偽の情報を紛れ込ませる攻撃。
セッションハイジャック|通信中の、セッションの情報を盗んで、その利用者になりすます攻撃。
APT|特定の組織を狙い、長期間、気づかれないように、続けられる高度な攻撃。
水飲み場型攻撃|標的の組織の人が、よく訪れるWebサイトを、改ざんして、感染させる攻撃。
やり取り型攻撃|標的と、何度かメールをやり取りして、信頼させてから、感染させる攻撃。
SEOポイズニング|検索結果の、上位に、悪意のあるサイトを表示させて、誘導する攻撃。
サイドチャネル攻撃|処理時間や消費電力などの、副次的な情報から、秘密の情報を推測する攻撃。
テンペスト攻撃|機器から漏れる、電磁波を、盗み取って、情報を復元する攻撃。
プローブ攻撃|システムの、弱点を探るために、様々な入力を試す攻撃。
タイミング攻撃|処理にかかる時間の違いから、秘密の情報を推測する攻撃。
電力解析攻撃|機器の、消費電力の変化を、解析して、暗号鍵などを推測する攻撃。
オープンリゾルバの悪用|誰でも問合せできるDNSサーバを、DDoS攻撃などの、踏み台にする攻撃。
ディープフェイク|AIを使って、本物のように見せかけた、偽の画像・音声・動画。
敵対的サンプル|AIに、誤った判断をさせるために、わずかに加工した、入力データ。
プロンプトインジェクション攻撃|生成AIへの指示に、不正な命令を紛れ込ませて、意図しない動作をさせる攻撃。
フットプリンティング|攻撃の前に、標的の情報を、集める行為。
ポートスキャン|標的の、開いているポートを調べて、動作しているサービスを探る行為。
CRYPTREC暗号リスト|日本の政府が、推奨する、安全な暗号技術の一覧。
RSA暗号|素因数分解の難しさを、利用した、公開鍵暗号方式。
ブロック暗号|データを、一定の長さのブロックに分けて、暗号化する方式。
CBC|前の暗号文のブロックを、次のブロックの暗号化に、反映させる、ブロック暗号の利用モード。
CTR|カウンタ値を暗号化して、その結果と平文を、演算する、ブロック暗号の利用モード。
ストリーム暗号|データを、1ビットまたは、1バイトずつ、順に暗号化する方式。
鍵管理|暗号鍵の、生成・配布・保管・廃棄を、安全に行うこと。
ストレージ暗号化|記憶装置に保存する、データを、暗号化すること。
ファイル暗号化|ファイルの内容を、暗号化すること。
危殆化|暗号などが、解読されやすくなり、安全性が損なわれること。
デジタル署名|送信者の本人確認と、内容の改ざん検出を行うための、電子的な署名。
XMLデジタル署名|XML文書に対する、デジタル署名の方式。
メッセージダイジェスト|メッセージから、ハッシュ関数で求めた、固定長の値。
メッセージ認証|メッセージが、改ざんされていないことを確認すること。
MAC|共通鍵を使って、メッセージの改ざんを検出する、認証コード。
チャレンジレスポンス認証|サーバが送る、ランダムな値をもとに、応答を計算して返すことで、パスワードを送らずに認証する方式。
リスクベース認証|アクセスの状況から、リスクを判断し、追加の認証を求める方式。
ログイン|システムに、利用者が、認証を受けて入ること。
アクセス管理|誰が、どの資源に、アクセスできるかを、管理すること。
ICカード|ICチップを、埋め込んだカード。情報を安全に記録でき、認証に使う。
PINコード|本人確認のために使う、暗証番号。
多段階認証|複数の段階を、経て、認証を行う方式。
パスワードレス認証|パスワードを、使わず、生体情報などで認証する方式。
FIDO UAF|生体認証などを使って、パスワードレスで認証する、FIDOの仕様。
FIDO U2F|パスワードに加えて、セキュリティキーで認証する、FIDOの仕様。
