リアルタイム処理|要求を受けたら、決められた時間内に、必ず処理して応答する方式。|航空機の制御、銀行のATM。
並列処理|複数の処理を、複数のプロセッサで、同時に行うこと。
クライアントサーバ処理|依頼する側(クライアント)と、処理する側(サーバ)で、役割を分担して行う処理。
トランザクション処理|ひとまとまりの処理を、確定または取消しの単位として、扱う処理方式。
対話型処理|利用者が、コンピュータとやり取りしながら、進める処理方式。
マルチプロセッサシステム|複数のプロセッサを備えて、処理を分担するシステム。
ロードシェアリングシステム|複数のシステムで、負荷を分け合って処理する構成。
バックアップサイト|災害などに備えて、別の場所に用意する、予備のシステムの拠点。
ホットサイト|本番と同じ環境を、常時稼働させておく、バックアップサイト。すぐ切り替えられる。
ウォームサイト|機器は用意しておくが、データの同期などは、切替時に行うバックアップサイト。
コールドサイト|場所や設備だけを、用意しておくバックアップサイト。復旧に時間がかかる。
主系|通常時に、処理を行うほうのシステム。
従系|主系に障害が起きたとき、代わりに動く、予備のシステム。
密結合|複数のプロセッサが、メモリを共有して、密接に連携している構成。
疎結合|複数のシステムが、それぞれ独立し、通信で連携している構成。
ピアツーピア|特定のサーバを置かず、対等な端末同士が、直接やり取りする方式。P2Pともいう。
グリッドコンピューティング|ネットワークでつないだ、多数のコンピュータを、1つの大きな計算機として使う技術。
VM|1台の物理的なコンピュータ上で動作する、仮想的なコンピュータ。仮想マシンともいう。
VDI|デスクトップ環境を、サーバ上に集約して、端末から利用する仕組み。
IaC|サーバやネットワークの構成を、コードで記述して、自動的に構築する手法。
サーバレス|利用者がサーバの管理を意識せずに、プログラムを実行できる、クラウドの仕組み。
FaaS|関数(プログラム)単位で、クラウド上で実行できるサービス。
マイグレーション|システムやデータを、別の環境へ移行すること。
ファンクション層|3層構造のシステムで、業務処理を担う層。
データベースアクセス層|3層構造のシステムで、データベースへのアクセスを担う層。
クライアント|サービスを依頼する側の、コンピュータやソフトウェア。
サーバ|サービスを提供する側の、コンピュータやソフトウェア。
シンクライアントシステム|端末に最低限の機能だけを持たせ、処理やデータをサーバ側で管理する方式。
RPC|ネットワーク上の、別のコンピュータにあるプログラムを、手元にあるように呼び出す仕組み。
Webブラウザ|Webページを閲覧するための、ソフトウェア。
RAID10|ミラーリングとストライピングを組み合わせた方式。RAID1+0ともいう。
RAID2|データをビット単位で分散し、ハミング符号で誤り訂正する方式。
RAID3|データをビット/バイト単位で分散し、専用のディスクにパリティを記録する方式。
RAID4|データをブロック単位で分散し、専用のディスクにパリティを記録する方式。
ストライピング|データを分割して、複数のディスクに並行して書き込む方式。
ミラーリング|同じデータを、複数のディスクに、同時に書き込む方式。
パリティ|誤りの検出や、データの復元のために付ける、検査用の情報。
NAS|ネットワークにつないで、ファイルを共有するための、専用の記憶装置。
SAN|ストレージを、専用の高速ネットワークで、つないだシステム。
フォールト|システムに、障害を引き起こす原因となる、欠陥や故障。
フォールトマスキング|故障が起きても、多重化などで、その影響が表に出ないようにする方法。
フォールトトレラントシステム|一部が故障しても、システム全体は動き続けられるように、設計されたシステム。
フォールトアボイダンス|故障の発生自体を、避けるという考え方。高品質な部品の採用など。
アクティブ-スタンバイ構成|片方を稼働させ、もう一方を待機させておく構成。
アクティブ-アクティブ構成|複数のシステムを、すべて稼働させておく構成。
TPC|データベースの、トランザクション処理性能を測る、ベンチマーク。
SPECint|整数演算を中心とした、CPUの性能を測るベンチマーク。
SPECfp|浮動小数点演算を中心とした、CPUの性能を測るベンチマーク。
モニタリング|システムの稼働状況や、性能を、継続的に監視すること。
サイジング|必要な性能から、システムの規模や構成を、見積もること。
スケールアウト|サーバの台数を増やして、システムの処理能力を高めること。
スケールアップ|1台のサーバの性能を、高めて処理能力を上げること。
容量・能力管理|将来の需要を見越して、システムの容量や処理能力を、計画的に管理すること。
プロビジョニング|必要な資源を、用意して、使える状態にすること。
直接コスト|特定のシステムなどに対して、直接かかった費用。
間接コスト|特定のシステムなどに、直接ひもづけられない、共通してかかる費用。
