@meta 企業活動と法務編|ストラテジ > 企業活動・法務|基本情報技術者試験「ストラテジ」の中の企業活動と法務の用語集です。経営管理、会計・財務、OR・IE、知的財産権、セキュリティ関連法規、標準化まで含みます。
@group 企業活動|企業の仕組みに関する用語
経営理念|企業が、活動を行ううえでの、基本的な考え方や価値観。
株式会社|株式を発行して資金を集め、株主が出資者となる会社。
株主総会|株式会社の、最高の意思決定機関。
取締役会|会社の業務の執行を、決定・監督する機関。
CEO|企業の、最高経営責任者。
CIO|企業の、情報化を統括する最高情報責任者。
CTO|企業の、技術面を統括する最高技術責任者。
CFO|企業の、財務面を統括する最高財務責任者。
CSO|企業の、最高戦略責任者、または最高セキュリティ責任者。
PDCAサイクル|計画・実行・評価・改善を繰り返し、業務を継続的に改善する手法。
OJT|実際の仕事を通じて、上司や先輩が部下や後輩に指導する教育方法。
コンプライアンス|法令や社会規範を、守って事業活動を行うこと。
組織形態|機能別組織や事業部制組織など、企業の組織の作り方。
事業部制組織|製品や地域ごとに、独立した事業部を設ける組織形態。
マトリックス組織|機能別と、プロジェクト別など2つの軸を組み合わせた組織形態。
@group 会計・財務|お金の管理に関する用語
財務諸表|企業の、財務状況や経営成績を示す書類の総称。
貸借対照表|一定時点の、資産・負債・純資産を表した財務諸表。バランスシートともいう。
損益計算書|一定期間の、収益と費用、利益を表した財務諸表。PLともいう。
キャッシュフロー計算書|一定期間の、現金の流れを表した財務諸表。
資産|企業が持つ、価値のある財産。
負債|将来、返済などしなければならない債務。
純資産|資産から、負債を引いた残り。
売上総利益|売上高から、売上原価を引いた利益。粗利ともいう。
営業利益|売上総利益から、販売費や一般管理費を引いた、本業による利益。
経常利益|営業利益に、本業以外の収益や費用を加えた利益。
固定費|売上高や生産量に関係なく、一定額かかる費用。|家賃、正社員の給与。
変動費|売上高や生産量に比例して、増減する費用。|材料費。
損益分岐点|売上高と、総費用が等しくなって、利益がちょうどゼロになる点。|固定費÷(1−変動費率)で求める。
減価償却|固定資産の購入費用を、使用する年数にわたって、費用として配分すること。
定額法|毎年、同じ金額を減価償却する方法。
流動比率|短期的な支払い能力を示す指標。流動資産を流動負債で割った値。
自己資本比率|総資産のうち、返済不要の自己資本が占める割合。
ROE|自己資本に対して、どれだけ利益を上げたかを表す指標。
在庫回転率|在庫が、一定期間に何回入れ替わったかを表す指標。
@group OR・IE|問題を解決するための手法に関する用語
OR|数学的な手法で、経営上の問題を解決するための技法。オペレーションズリサーチともいう。
線形計画法|制約のもとで、利益を最大にするなど、最適な解を求める手法。
在庫管理|在庫を、適切な量に保つよう管理すること。
発注方式|在庫を補充するために、いつ・どれだけ発注するかを決める方法。
定量発注方式|在庫が一定量まで減ったら、決まった量を発注する方式。
定期発注方式|決まった間隔で、その時点の在庫に応じた量を発注する方式。
デシジョンツリー|決定に伴う複数の選択肢と、その結果を、木の形で表した図。
IE|作業の方法や、工程を分析して、生産性を高めるための技法。インダストリアルエンジニアリングともいう。
QC七つ道具|品質管理で使う、パレート図や特性要因図などの、7つの基本的な手法。
ゲーム理論|複数の主体が、互いの行動を予想しながら、意思決定する状況を分析する理論。
@group 知的財産権|創作した成果を守る権利に関する用語
知的財産権|人の知的な創作活動によって生み出されたものを、保護するための権利。
著作権|文章、音楽、プログラムなどを作った人に、創作と同時に自動的に発生する権利。
特許権|新しい発明を、一定期間、独占して利用できる権利。
実用新案権|物品の形や構造に関する、小さな発明を保護する権利。
意匠権|物品の、デザイン(形や模様)を保護する権利。
商標権|商品やサービスの、名前やマークを保護する権利。
産業財産権|特許権・実用新案権・意匠権・商標権の総称。
営業秘密|企業が秘密として管理している、有用な技術や営業上の情報。
不正競争防止法|営業秘密の不正な取得など、不公正な競争を防ぐための法律。
職務著作|会社などの指示で、従業員が作った著作物の著作権が、会社に帰属する制度。
@group 法務・セキュリティ関連法規|守るべき法律に関する用語
個人情報保護法|個人情報の適切な取扱いを定め、個人の権利を保護するための法律。
個人情報|生存する個人を、識別できる情報。|氏名、生年月日、顔写真。
要配慮個人情報|不当な差別につながるおそれのある、特に慎重な取扱いが必要な個人情報。
マイナンバー|国民1人ひとりに割り当てられる、12桁の番号。
不正アクセス禁止法|他人のIDやパスワードを使って、不正にアクセスすることを禁じる法律。
サイバーセキュリティ基本法|サイバーセキュリティに関する、国や事業者の責務を定めた法律。
電子署名法|電子署名を、手書きの署名や押印と同じ効力とする法律。
労働基準法|労働条件の最低基準を定めた法律。
労働者派遣法|派遣労働者の保護や、派遣事業の適正な運営を定めた法律。
製造物責任法|製造物の欠陥によって被害が生じたとき、製造者が賠償責任を負うことを定めた法律。PL法ともいう。
下請法|親事業者が、下請事業者に対して不当な扱いをすることを禁じる法律。
公益通報者保護法|組織の不正を通報した人が、不利益を受けないよう保護する法律。
@group 標準化|規格や標準に関する用語
標準化|製品やサービスの、仕様や手順を統一すること。
ISO|国際的な標準を定める組織、またその規格。
JIS|日本の産業製品に関する、国家規格。
IEEE|電気・電子分野の学会。LANの規格などを標準化している。
ISO 9000|品質マネジメントシステムに関する、国際規格。
ISO 14000|環境マネジメントシステムに関する、国際規格。
ISO/IEC 27001|情報セキュリティマネジメントシステムに関する、国際規格。
デファクトスタンダード|公的な機関が定めなくても、市場での競争を通じて、事実上の標準となったもの。
デジュールスタンダード|公的な標準化機関が、正式に定めた標準。
