@meta セキュリティ編|技術要素 > セキュリティ|基本情報技術者試験「技術要素」の中のセキュリティの用語集です。情報セキュリティの考え方、脅威、暗号、認証、対策まで含みます。
@group 情報セキュリティの基本|守るべきことに関する用語
情報セキュリティ|情報を、さまざまな脅威から守ること。
機密性|許可された人だけが、情報を利用できること。
完全性|情報が正確で、改ざんされていないこと。
可用性|必要なときに、いつでも情報を利用できること。
情報資産|組織にとって価値のある、情報やその情報を扱う機器など。
脅威|情報資産に損害を与える、原因となるもの。
脆弱性|情報資産の持つ、脅威につけ込まれる弱点。セキュリティホールともいう。
リスク|脅威が脆弱性をついて、損害を発生させる可能性。
ISMS|組織が、情報セキュリティを維持・改善するための管理の仕組み。
セキュリティポリシ|組織の、情報セキュリティに関する基本方針や対策の基準。
リスクアセスメント|リスクを見つけ出し、その大きさを評価すること。
リスク回避|リスクの原因を、なくしてしまう対応。
リスク低減|対策を行って、リスクの大きさを小さくする対応。
リスク移転|保険などを利用して、損失を第三者へ移す対応。
リスク受容|リスクが小さいので、対策をせずに受け入れる対応。
@group 攻撃の手口|不正アクセスやサイバー攻撃に関する用語
マルウェア|利用者に害を与える目的で作られた、悪意のあるソフトウェアの総称。
コンピュータウイルス|他のプログラムに寄生して、増殖するマルウェア。
ワーム|自分自身をコピーして、ネットワークを通じて増殖するマルウェア。
トロイの木馬|有用なソフトに見せかけて、裏で不正な動作をするマルウェア。
ランサムウェア|データを暗号化して使えなくし、元に戻すことと引き換えに金銭を要求するマルウェア。
スパイウェア|利用者に気づかれないよう、情報を収集して外部へ送信するマルウェア。
ボット|外部から遠隔操作される、感染したコンピュータのプログラム。
DoS攻撃|大量のデータなどを送り、サーバをサービス停止に追い込む攻撃。
DDoS攻撃|多数のコンピュータから、一斉にDoS攻撃を行うもの。
ブルートフォース攻撃|考えられるパスワードを、片っ端から試して破る攻撃。総当たり攻撃ともいう。
辞書攻撃|辞書にある単語などを、パスワードとして次々に試す攻撃。
パスワードリスト攻撃|流出したIDとパスワードの組を使い、他のサービスへの不正ログインを試みる攻撃。
