RDB|データを、表(テーブル)の形で管理する、関係データベース。
構造型データベース|データを、あらかじめ決めた構造に従って、管理するデータベースの総称。
HDB|データを、親子の関係で、木構造に管理する、階層型データベース。
NDB|データを、網の目のような関係で、管理する、ネットワーク型データベース。
OODB|データと、その処理を、オブジェクトとして管理する、オブジェクト指向データベース。
XMLデータベース|XML形式のデータを、そのまま格納して、扱えるデータベース。
分散データベース|複数の場所に、分かれて置いたデータベースを、1つのデータベースのように扱う方式。
ドキュメント指向データベース|JSONなどの文書の形で、データを格納するNoSQLのデータベース。
列指向データベース|データを、列単位でまとめて保存する、データベース。集計処理に強い。
グラフデータベース|データ同士のつながりを、グラフ構造で表現して、扱うデータベース。|SNSの友人関係の分析。
キーバリュー型データベース|キーと値の組で、データを保存する、単純なデータベース。
インメモリデータベース|データを、主記憶(メモリ)上に置いて、高速に処理するデータベース。
3層スキーマ構造|データベースの構造を、外部・概念・内部の3つの層で表す考え方。
概念スキーマ|データベース全体の、論理的な構造を、定義したもの。
外部スキーマ|利用者やアプリケーションから見える、データの見せ方を、定義したもの。
内部スキーマ|データを、記憶装置に、どのように格納するかを定義したもの。
論理データモデル|実現方法に、依存せず、データの構造や関係を表したモデル。
物理データモデル|実際の、データベースの製品に合わせて、テーブル構造などを具体化したモデル。
関係モデル|データを、行と列の表(関係)で、表すデータモデル。
階層モデル|データを、親と子の、木構造で表すデータモデル。
ネットワークモデル|データを、網の目のような、関係で表すデータモデル。
グラフ型のデータモデル|データを、節点と辺の、グラフで表すデータモデル。
関係|関係データベースにおける、表のこと。
タプル|表の、1行分のデータ。レコードにあたる。
実現値|ある属性が、実際にとっている値。
定義域|ある属性が、とることのできる値の範囲。ドメインともいう。
関係スキーマ|表の名前と、その列(属性)の構成を、定義したもの。
データベース定義機能|データベースの構造を、定義する、DBMSの機能。
データベース操作機能|データの検索や更新を、行う、DBMSの機能。
データベース制御機能|データの整合性や、同時実行などを、制御する、DBMSの機能。
保全機能|データの障害や誤りから、データベースを守る、機能。
データ機密保護機能|許可された人だけが、データを使えるようにする、機能。
同時実行制御|複数の利用者が、同時にデータを扱っても、矛盾が起きないようにする制御。
障害回復|障害が起きたとき、データベースを、正常な状態に戻すこと。
データセキュリティ|データを、不正なアクセスなどから、守ること。
データ重複の排除|同じデータを、複数の場所に持たないようにして、矛盾を防ぐこと。
メタデータ|データそのものではなく、データについての情報。|ファイルの作成日時、作成者。
データディクショナリ|データの定義や、意味を管理する、辞書のような仕組み。
概念データモデル|現実の世界の物事とその関係を、分かりやすく表した、データモデル。
カーディナリティ|エンティティ同士の、関連の数の関係。1対1、1対多など。
ファイル|関連するデータを、まとめて記録した、もの。
一意性制約|ある列の値が、テーブル内で重複しないことを、保証する制約。
完全関数従属|ある項目が、複合キー全体によって決まっている関係。
部分関数従属|ある項目が、複合キーの一部によって、決まっている関係。
推移関数従属|AでBが決まり、BでCが決まることで、AでCが間接的に決まる関係。
ディスク容量見積り|データベースに必要な、ディスクの容量を、見積もること。
論理データ構造のマッピング|論理的なデータ構造を、実際のデータベースの構造へ、割り当てること。
性能評価|データベースの、処理速度などが要求を満たしているかを、評価すること。
関係代数|関係(表)に対する、演算の体系。
集合演算|和・差・積などの、集合に対する演算。
関係演算|選択・射影・結合などの、関係(表)に対する演算。
DDL|データの構造を、定義するための、SQLの命令群。
DML|データの検索や更新を行う、SQLの命令群。
会話型SQL|端末から、SQL文を入力して、対話的に実行する方式。
埋込みSQL|プログラムの中に、SQL文を、埋め込んで使う方式。
モジュール言語|SQL文を、プログラムから、独立した部品として記述する方式。
コマンド方式|命令(コマンド)を入力して、データベースを、操作する方式。
フォーム|入力や表示のための、画面の様式。
問合せ|データベースに対して、条件を指定して、データを検索すること。
実表|実際に、データが格納されている表。ビューに対する呼び名。
数値型|数値を扱う、データ型。
日付型|日付を扱う、データ型。
検査制約|列の値が、満たすべき条件を、定義する制約。
非NULL制約|列に、NULLを入れることを、禁止する制約。
アクセス権|データベースの、表などに対する、操作を許可する権限。
