情報セキュリティポリシーに基づく情報の管理|組織が定めた方針に従って、情報を、適切に取り扱い、保護すること。
情報セキュリティ事象|情報セキュリティに関わる可能性のある、システムなどの、状態の変化。
情報セキュリティインシデント|情報セキュリティを脅かす、望まない出来事や、その恐れがある出来事。
アカウント管理|利用者のアカウントの、作成・変更・削除などを、管理すること。
クラウドサービスの責任共有モデル|クラウドの、事業者と利用者で、セキュリティの責任範囲を、分担するという考え方。
外部委託やクラウドサービスの利用時における情報セキュリティ|外部に業務を委託したり、クラウドを利用したりするときの、セキュリティ管理。
情報資産台帳|組織が持つ、情報資産の、一覧を記録した、台帳。
財産損失|情報資産などの、経済的な損害。
責任損失|事故により、法的な責任を負って生じる、損失。
純収益の喪失|事故によって、事業が止まり、得られるはずだった、利益を失うこと。
人的損失|人の、死傷などによる、損失。
オペレーショナルリスク|業務の、運営の過程で、人為的なミスやシステムの障害によって生じる、損失のリスク。
サプライチェーンリスク|取引先などを含む、供給網の、弱点を突かれて生じる、リスク。
外部サービス利用のリスク|外部のサービスを、利用することで生じる、リスク。
SNSによる情報発信のリスク|SNSでの、不用意な発信で、情報が漏れたり、信頼を失ったりするリスク。
地政学的リスク|国際情勢や、政治の変化が、事業などに及ぼす、リスク。
ペリル|損害を引き起こす、直接的な原因となる事象。|火災、地震。
ハザード|ペリルの、発生を、増大させたり、損害を大きくしたりする条件。
モラルハザード|保険などがあることで、注意が、おろそかになり、事故が起きやすくなること。
年間予想損失額|リスクによって、1年間に、予想される損失の額。ALEともいう。
得点法|リスクを、点数で評価して、優先順位を決める方法。
コスト要因|リスク対応にかかる、費用の要素。
情報セキュリティリスクアセスメント|情報セキュリティのリスクを、特定・分析・評価する、一連の活動。
リスク基準|リスクの重大さを、評価するための、目安。
リスクレベル|リスクの、大きさを表す度合い。
リスクマトリックス|リスクの、発生可能性と影響の大きさを、2軸にして、表に整理したもの。
リスク所有者|リスクを管理する、責任と権限を持つ人。
リスク源|リスクを、引き起こす可能性を持つ、要素。
リスクアセスメントのプロセス|リスクを、特定し、分析し、評価するまでの、手順。
リスクの定性的分析|リスクを、大・中・小などの、言葉で、評価する方法。
リスクの定量的分析|リスクを、金額などの数値で、評価する方法。
リスクコントロール|リスクの、発生を抑えたり、被害を小さくしたりして、コントロールする対応。
リスクヘッジ|リスクによる、損失を、避けるために、あらかじめ、備えておくこと。
リスクファイナンシング|リスクによる、損失に、備えて、資金を準備しておくこと。
リスク共有|リスクを、他者と分け合う対応。
リスク保有|リスクを、そのまま受け入れる対応。
リスク集約|同種のリスクを、まとめて管理する対応。
残留リスク|対策を講じたあとにも、残るリスク。
リスク対応計画|リスクへの、対応の方法や、手順を、定めた計画。
リスクコミュニケーション|リスクについての情報を、関係者と共有し、意見を交わすこと。
緊急事態の区分|緊急事態を、その重大さなどに応じて、分けたもの。
緊急時対応計画|緊急事態が起きたときの、対応を、あらかじめ定めた計画。
復旧計画|被害を受けた、システムなどを、元に戻すための計画。
災害復旧|災害で失われた、システムなどを、回復させること。
バックアップによる対策|データの、コピーを取っておくことで、障害や災害に備える対策。
被害状況の調査手法|事故で受けた、被害の範囲や、程度を、調べる方法。
情報セキュリティ方針|組織の、情報セキュリティに関する、基本的な考え方を示したもの。
情報セキュリティ目的|情報セキュリティの、取組みで達成したい目標。
情報セキュリティ対策基準|方針を実現するために、守るべき、具体的な対策の基準。
情報管理規程|情報の、取扱いについて、定めた規程。
秘密情報管理規程|秘密にすべき情報の、取扱いについて、定めた規程。
文書管理規程|文書の、作成・保管・廃棄などについて、定めた規程。
情報セキュリティインシデント対応規程|インシデントが起きたときの、対応について、定めた規程。
情報セキュリティ教育の規程|従業員への、セキュリティ教育について、定めた規程。
プライバシーポリシー|個人情報の、取扱いについての、組織の方針。
職務規程|従業員の、職務に関する、規程。
罰則の規程|規則に違反した場合の、罰則を定めた規程。
対外説明の規程|外部への、説明のしかたを、定めた規程。
例外の規程|規則の、例外を認める場合の、条件や手続きを、定めた規程。
規則更新の規程|規則の、見直しや、更新の手続きを、定めた規程。
規程の承認手続|規程を、正式に、定めるための、承認の手続き。
ソーシャルメディアガイドライン|SNSなどの、利用について、組織が定めた、指針。
ISMS適用範囲|ISMSが、対象とする、組織や、事業所などの範囲。
リーダーシップ|経営者が、ISMSに関して、果たすべき役割。
計画|ISMSの、リスクや目的を、決める段階。
運用|計画に基づいて、対策を、実施する段階。
パフォーマンス評価|ISMSの、実施状況を、評価する段階。
改善|評価の結果をもとに、ISMSを、より良くする段階。
管理目的|情報セキュリティ対策で、達成したい、目的。
組織的管理策|組織の、体制や、規則などに関する、管理策。
人的管理策|採用や、教育など、人に関する、管理策。
物理的管理策|施設や、設備など、物理的な、管理策。
技術的管理策|システムや、ネットワークなど、技術的な、管理策。
管理策タイプ|管理策を、予防・検知・是正などの、性質で分けたもの。
サイバーセキュリティ概念|サイバー空間における、セキュリティの、基本的な考え方。
ISMS適合性評価制度|組織のISMSが、規格に適合していることを、第三者が認証する制度。
ISMS認証|ISMSが、規格に適合していることを、認証機関が認めること。
JIS Q 27001|情報セキュリティマネジメントシステムの、要求事項を定めた、JIS規格。
JIS Q 27002|情報セキュリティ管理策の、実践のための、規範を示した、JIS規格。
情報セキュリティガバナンス|経営者が、情報セキュリティを、適切に統制する、仕組み。
情報セキュリティ委員会|組織の、情報セキュリティについて、審議・決定する、会議体。
PSIRT|自社の製品の、脆弱性に、対応する、組織内のチーム。
エシカルハッカー|善意で、システムの脆弱性を、探して、報告する専門家。
サイバーセキュリティ戦略本部|日本政府の、サイバーセキュリティの、施策を推進する、組織。
国家サイバー統括室|日本政府の、サイバーセキュリティ対策を、統括する組織。
IPAセキュリティセンター|情報処理推進機構(IPA)の、セキュリティに関する、対策や、啓発を行う部署。
CRYPTREC|日本の政府が、推奨する暗号技術を、評価・監視するプロジェクト。
JPCERTコーディネーションセンター|日本で、コンピュータセキュリティの、インシデントに、対応する民間の組織。
J-CSIP|重要インフラなどの、組織間で、サイバー攻撃の情報を、共有する取組み。
JVN|ソフトウェアなどの、脆弱性の情報を、提供する、ポータルサイト。
コンピュータ不正アクセス届出制度|不正アクセスの被害を、経済産業省の告示に基づき、IPAへ届け出る制度。
コンピュータウイルス届出制度|コンピュータウイルスの、被害を、IPAへ届け出る制度。
ソフトウェア等の脆弱性関連情報に関する届出制度|発見した脆弱性を、IPAへ届け出る制度。
情報セキュリティ早期警戒パートナーシップ|脆弱性の、届出から、公表までを、関係者が連携して行う仕組み。
SECURITY ACTION|中小企業が、自ら、セキュリティ対策に取り組むことを宣言する制度。
ISAC|同じ業界の組織が、サイバー攻撃などの、情報を、共有する組織。
コンピュータウイルス対策基準|コンピュータウイルスへの、対策の基準を定めたもの。
コンピュータ不正アクセス対策基準|不正アクセスへの、対策の基準を定めたもの。
ソフトウェア製品等の脆弱性関連情報に関する取扱規程|脆弱性の情報の、取扱いについて、定めた規程。
政府機関等の情報セキュリティ対策のための統一基準群|政府機関などが、守るべき、情報セキュリティ対策の、統一的な基準。
サイバーセキュリティ経営ガイドライン|経営者が、サイバーセキュリティ対策を、実施するための、指針。
中小企業の情報セキュリティ対策ガイドライン|中小企業が、情報セキュリティ対策を、進めるための、指針。
IoTセキュリティガイドライン|IoT機器や、サービスの、セキュリティ対策の、指針。
PCI DSS|クレジットカードの情報を、安全に取り扱うための、国際的なセキュリティ基準。
サイバーセキュリティフレームワーク|サイバーセキュリティ対策を、体系的に整理した、枠組み。
ISO/IEC15408|IT製品の、セキュリティ機能を、評価するための、国際規格。コモンクライテリア。
評価方法|セキュリティの、評価を、行うための方法。
セキュリティ機能要件|製品が、備えるべき、セキュリティ機能の、要件。
セキュリティ保証要件|製品が、正しく作られていることを、保証するための、要件。
保証レベル|セキュリティ評価の、厳しさを表す、段階。EALともいう。
JCMVP|暗号モジュールの、安全性を、評価・認証する日本の制度。
CVSS|脆弱性の、深刻度を、共通の基準で評価する、方法。
耐タンパ性|機器の内部を、不正に、読み取られたり、改ざんされたりしにくい、性質。
IT製品の調達におけるセキュリティ要件リスト|IT製品を、調達するときの、セキュリティ要件を、まとめた一覧。
JISEC|IT製品の、セキュリティを評価・認証する、日本の制度。
組織における内部不正防止ガイドライン|組織内部の人による不正を、防ぐための、指針。
情報セキュリティ啓発|情報セキュリティの、重要性を、従業員などに、知らせて意識を高めること。
情報セキュリティ訓練|標的型メールへの対応などを、実際に体験して、身につける訓練。
認証情報の割当て及び管理|ID、パスワードなどの、割当てや管理を、適切に行うこと。
秘密保持契約・誓約書|知り得た秘密を、漏らさないことを、約束する、契約や、書面。
クラッキング対策|クラッキングを、防ぐための対策。
不正アクセス対策|不正アクセスを、防ぐための対策。
情報漏えい対策|情報が、外部へもれることを、防ぐための対策。
マルウェア対策|マルウェアの感染を、防ぐ、または被害を、抑えるための対策。
ランサムウェア対策|ランサムウェアの被害に、備えるための対策。
3-2-1ルール|データのコピーを3つ持ち、2種類の媒体に保存し、1つは別の場所に置く、というバックアップの考え方。
WORM|一度書き込むと、変更や削除ができない、記憶媒体や方式。
イミュータブルバックアップ|書き込んだあとに、変更・削除できないようにした、バックアップ。
ビヘイビア法|プログラムの、振る舞いを監視して、マルウェアを検出する方法。
ヒューリスティック法|マルウェアに、特徴的な、動作や構造から、未知のものを検出する方法。
未知マルウェア検出手法|まだ知られていない、マルウェアを見つけるための、検出の方法。
秘匿化|情報を、他人に分からないように、隠すこと。
脆弱性管理|システムの、脆弱性を、把握し、対処すること。
ネットワーク監視|ネットワークの、通信状況を、監視すること。
アクセス権の設定|利用者ごとに、資源へのアクセスの権限を、設定すること。
侵入検知|不正な侵入を、検知すること。
侵入防止|不正な侵入を、防ぐこと。
検疫ネットワーク|持ち込まれた端末の、安全性を確認してから、社内ネットワークに接続させる仕組み。
URLフィルタリング|アクセス先のURLを見て、危険なサイトなどへの接続を、遮断する仕組み。
コンテンツフィルタリング|通信の内容を、確認して、不適切なものを、遮断する仕組み。
携帯端末のセキュリティ|スマートフォンなどの、紛失や、不正利用などへの対策。
データマスキング|データの、一部を、別の文字などに置き換えて、内容を隠すこと。
クラウドサービスのセキュリティ|クラウドサービスの利用における、セキュリティ対策。
IoTのセキュリティ|IoT機器に対する、セキュリティ対策。
制御システムのセキュリティ|工場などの、制御システムに対する、セキュリティ対策。
電子透かし|画像などに、人の目に見えない形で、情報を埋め込む技術。
デジタルフォレンジックス|事故の、原因究明などのために、電子的な証拠を、収集・分析する技術。
AIを使ったセキュリティ技術|AIを活用して、脅威の検知や対応を行う技術。
AIそのものを守るセキュリティ技術|AIシステム自体を、攻撃から守る技術。
マルウェア対策ソフト|マルウェアを、検出・駆除する、ソフトウェア。
SIEM|さまざまな機器のログを、集めて分析し、脅威を検知する仕組み。
UTM|ファイアウォールや、ウイルス対策など、複数のセキュリティ機能を、1台にまとめた装置。
許可リスト|通信や実行を、許可するものを、あらかじめ登録した一覧。ホワイトリストともいう。
拒否リスト|通信や実行を、拒否するものを、登録した一覧。ブラックリストともいう。
フォールスネガティブ|本来検知すべき異常を、見逃してしまうこと。
フォールスポジティブ|問題のないものを、誤って異常と判定してしまうこと。
SSL/TLSアクセラレーター|SSL/TLSの、暗号処理を、高速化する装置。
MDM|会社などが、従業員の携帯端末を、一元的に管理する仕組み。
耐震耐火設備|地震や火災に、耐えられるようにした、設備。
多重化技術|システムなどを、複数用意して、障害に備える技術。
ストレージのミラーリング|記憶装置に、同じデータを、複製して書き込み、障害に備える技術。
監視カメラ|人の出入りなどを、記録・監視するカメラ。
セキュリティゲート|認証された人だけを通す、出入口の設備。
施錠管理|鍵や、施錠の状況を、管理すること。
クリアデスク|離席時に、机の上に、書類などを置かないようにすること。
クリアスクリーン|離席時に、画面を、ロックして、見られないようにすること。
遠隔バックアップ|離れた場所に、データの、バックアップを保管すること。
USBキー|認証などに使う、USB接続の、鍵となる装置。
セキュリティケーブル|パソコンなどの、盗難を防ぐために、固定するためのワイヤ。
記憶媒体の管理|USBメモリなどの、記憶媒体を、適切に保管・管理すること。
装置のセキュリティを保った処分又は再利用|機器を廃棄や再利用するときに、データを、確実に消去すること。
IPsec|IPの層で、通信を暗号化・認証する、プロトコルの集まり。VPNで使われる。
WPA2|無線LANの、通信を、暗号化する規格。AESを使用。
WPA3|WPA2の、安全性を高めた、無線LANの暗号化の規格。
ベイジアンフィルタリング|過去のメールの傾向から、迷惑メールかどうかを確率で判定する方法。
SPF|メールの、送信元のIPアドレスが、正規のものか検証する、送信ドメイン認証の仕組み。
DKIM|メールに、電子署名を付けて、なりすましや、改ざんを検出する仕組み。
DMARC|SPFやDKIMの、結果を、受信側が、どう扱うかを、送信側が指定する仕組み。
SMTP-AUTH|メールを送信する際に、利用者の認証を行う仕組み。
OP25B|迷惑メール対策として、プロバイダが、25番ポートの通信を制限する仕組み。
