システム最適化手法|システムを、効率的で、無駄がないように、整える手法。
システム化構想の共有|システム化の、方向性を、関係者の間で、共有すること。
システムデザイン|システムの、全体の設計や、利用の体験を、設計すること。
BABOK|ビジネスアナリシスの、知識を、体系的にまとめた、ガイド。
SoR|企業の、業務データを、正確に記録・管理するための、システム。
SoE|顧客との、つながりや、体験を重視する、システム。
SoI|データを、分析して、洞察を得るための、システム。
Fit to Standard|独自に作り込まず、標準の機能に、業務を合わせて、導入する考え方。
全体システム化計画|組織全体の、システム化の方向性と、計画を、まとめたもの。
個別システム化計画|個別の、システムについて、具体的に、システム化を計画したもの。
システム適用範囲|システム化の、対象とする、業務や組織の範囲。
全体開発スケジュール|システム開発の、全体の日程。
プロジェクト推進体制|プロジェクトを、進めるための、体制。
要員教育計画|システムの、開発や運用に関わる人員の、教育の計画。
開発投資対効果|システム開発への、投資に対して、得られる効果。
ITポートフォリオ|IT投資を、種類ごとに、分類して、全体のバランスを考える手法。
情報システム導入リスク分析|システムの導入に、伴うリスクを、洗い出して、分析すること。
ユーザーニーズ調査|利用者の、要望や、必要としているものを、調べること。
現状分析|現状の、業務やシステムを、調べて、問題点を明らかにすること。
課題定義|分析した、問題点を、整理して、解決すべき課題を、明確にすること。
要求仕様書|システムに、求める機能や、性能をまとめた文書。
アンケート|質問を書いた、用紙などで、多くの人の、意見を集める調査方法。
インタビュー|関係者に、直接質問して、意見や要望を、聞き出す調査方法。
デシジョンテーブル|条件と、動作の、組合せを、表にまとめたもの。決定表。
DOA|業務の、データに着目して、システムを設計する考え方。データ中心アプローチ。
ファシリテーション|会議などで、参加者の、意見を、引き出し、まとめる、進行役の技術。
内外作基準|開発を、自社で行うか、外部に委託するかを、判断する基準。
ソフトウェアのサプライチェーンマネジメント|ソフトウェアの、部品や、外部由来の要素の供給元まで含めて、管理すること。
ライセンス管理|ソフトウェアの、ライセンスを、把握し、適切に管理すること。
RFQ|ベンダに、価格や、納期などの、見積りを依頼する文書。見積依頼書。
企画競争入札|価格だけでなく、提案の内容も、評価して、契約の相手を選ぶ方式。
一般競争入札|条件を満たす、誰もが参加できる、入札で、最も有利な条件の者と契約する方式。
ソフトウェア開発委託モデル契約|ソフトウェア開発を、委託する際の、契約の、ひな形。
情報システム・モデル取引・契約書|情報システムの、取引についての、標準的な契約書のひな形。
知的財産権利用許諾契約|知的財産権を、利用することを、許諾する契約。
ソフトウェア使用許諾契約|ソフトウェアの、使用を許諾する、契約。
ライセンス契約|知的財産の、利用を許諾する、契約。
リーンスタートアップ|最小限の製品を、素早く作って、検証し、改善を重ねる、起業の手法。
APIエコノミー|APIを、公開し、他の企業や、開発者と連携して、新しい価値を生む経済の仕組み。
R&D|新しい技術や製品を、生み出すための、研究開発。
VC|将来性のある、成長企業へ、出資する投資会社。ベンチャーキャピタル。
CVC|事業会社が、自社の戦略のために、ベンチャー企業へ出資する仕組み。
価値創出の三要素|新しい価値を、生み出すための、3つの要素。
技術のSカーブ|技術の、性能の向上が、時間とともに、S字を描く様子を示したもの。
キャズム|新しい製品が、初期の利用者から、一般の利用者へ、広がるときの、深い溝。
魔の川|研究段階から、開発段階へ進むときの、障壁。
コア技術|企業が、競争力の源泉として、持つ、中核となる技術。
技術研究|新しい技術の、原理や、応用を探る研究。
委託研究|研究を、外部の機関に、委託して行うこと。
共同研究|複数の機関が、共同で行う研究。
ペルソナ法|架空の利用者像(ペルソナ)を、具体的に設定して、製品開発に生かす手法。
PoC|新しい技術や、アイデアが、実現可能かを、小規模に試して確認すること。概念実証。
PoV|新しい技術や、アイデアの、価値があるかを、検証すること。価値実証。
技術獲得|自社にない技術を、外部から得ること。
技術供与|自社の技術を、他社に提供すること。
技術提携|企業同士が、技術面で、協力する契約。
産学官連携|企業・大学・行政が、連携して、研究開発などを行うこと。
標準化戦略|自社の、技術を、標準にして、市場での、優位性を得る戦略。
アイディアソン|アイデアを、出し合って、新しい発想や、企画を生み出すイベント。
ハッカソン|短期間に、チームで、集中して、システムやサービスを開発するイベント。
技術開発投資計画|技術開発に、どれだけ、投資するかを決める計画。
技術開発拠点計画|技術開発を行う、拠点を、どこに置くかの計画。
人材計画|必要な人材を、確保・育成するための、計画。
経営資源の最適配分|人・物・金・情報などの、経営資源を、最も効果的に、割り当てること。
コンカレントエンジニアリング|設計や、製造などの、工程を、同時並行で進めて、開発期間を短縮する手法。
パイロット生産|本格的な生産の前に、試験的に、小規模で生産すること。
知的財産権管理|特許などの、知的財産を、適切に、取得・管理すること。
市場ニーズ|市場で、求められている、ニーズ。
技術ロードマップ|技術開発の、将来の方向性と、時期を示した計画。
製品応用ロードマップ|技術を、どの製品に、いつ応用するかを、示した計画。
特許取得ロードマップ|特許の取得を、いつ、どの技術で行うかを、示した計画。
