@meta 経営戦略編|ストラテジ > 経営戦略マネジメント・技術戦略マネジメント・ビジネスインダストリ|基本情報技術者試験「ストラテジ」の中の経営戦略マネジメント、技術戦略マネジメント、ビジネスインダストリの用語集です。経営分析の手法、マーケティング、技術開発の戦略、各業界のシステムまで含みます。
@group 経営戦略手法|企業の方向性を決める手法に関する用語
SWOT分析|自社の強み・弱みと、外部環境の機会・脅威を整理して、戦略を考える分析手法。
PPM|事業を、市場の成長率と、市場占有率の2軸で分類し、資源配分を考える手法。プロダクトポートフォリオマネジメントともいう。
花形|PPMで、成長率も占有率も高い事業。
金のなる木|PPMで、成長率は低いが占有率が高く、資金を生み出す事業。
問題児|PPMで、成長率は高いが占有率が低い事業。
負け犬|PPMで、成長率も占有率も低い事業。
コアコンピタンス|他社が容易にまねできない、企業の中核となる強み。
アンゾフの成長マトリクス|製品と市場を、既存と新規に分けて、成長戦略を考える枠組み。
バリューチェーン|事業の活動を、価値を生み出す連鎖として捉えて分析する手法。
M&A|企業の合併や買収のこと。
アライアンス|複数の企業が、互いの強みを生かして提携すること。
ベンチマーキング|優れた他社の手法を調べ、自社と比較して改善に生かす手法。
ブルーオーシャン戦略|競合のいない新しい市場を切り開いて、競争を避ける戦略。
CSR|企業が、社会的な責任を果たすための取組み。
@group マーケティング|商品を売るための考え方に関する用語
マーケティング|顧客のニーズを把握し、商品が売れる仕組みをつくる活動。
市場調査|市場や顧客の動向を、調べること。
STP|市場を分け(セグメンテーション)、狙う市場を決め(ターゲティング)、自社の立場を決める(ポジショニング)手順。
4P|製品・価格・流通・販促の4つの視点から、マーケティングの施策を考える枠組み。
セグメンテーション|市場を、共通の性質を持つ顧客のグループに分けること。
ポジショニング|競合他社に対して、自社の商品の立場を明確にすること。
ロングテール|ニッチな商品でも、種類を多く取りそろえて、全体で大きな売上を得る考え方。
オムニチャネル|実店舗やネットなど、あらゆる販売の経路を連携させて顧客に対応する方法。
ABC分析|商品などを、重要度に応じてA・B・Cの3つに分けて管理する手法。
@group 技術戦略マネジメント|技術開発の進め方に関する用語
技術戦略|企業が、技術を経営にどう生かすかという方針。
MOT|技術を、経営に生かして、価値を生み出すための手法。技術経営ともいう。
イノベーション|新しい技術や考え方で、価値や仕組みを生み出すこと。
デザイン思考|利用者の視点に立ち、課題を見つけて、解決策を作り出す考え方。
ロードマップ|技術開発の将来の方向性と、時期を示した計画。
死の谷|研究開発から、事業化へ進む過程で、資金や人材が足りずに行き詰まる時期。
ダーウィンの海|事業化した製品が、市場の競争にさらされ、生き残るのが難しくなる時期。
オープンイノベーション|自社だけでなく、外部の知識や技術も取り入れて、新しい価値をつくる方法。
技術ポートフォリオ|自社の技術を、分類して、どこに投資するかを考える手法。
@group ビジネスインダストリ|業界に特有のシステムに関する用語
ビジネスインダストリ|業界ごとに特有の、ビジネスや情報システムの分野。
ITS|情報通信技術を使い、道路交通の安全や渋滞を改善する高度道路交通システム。
ETC|有料道路の料金を、無線通信で自動的に支払う仕組み。
GPS|人工衛星の電波を使って、現在の位置を特定するシステム。
POS|販売時に、売上データを商品ごとに記録するシステム。
RFID|電波で、タグの情報を非接触で読み書きする技術。
ICタグ|情報を記録して、電波で読み取りできる小さなタグ。
CAD|コンピュータを使って、設計・製図を行うシステム。
CAM|コンピュータを使って、製造機械を制御するシステム。
MRP|生産に必要な部品の量と時期を、計算して管理する手法。
JIT|必要なものを、必要なときに、必要な量だけ供給する生産方式。かんばん方式ともいう。
スマートグリッド|情報通信技術を使って、電力の需要と供給を最適に制御する送電網。
フィンテック|金融と情報技術を組み合わせた、新しいサービスの分野。
ATM|銀行などで、現金の預入れや引出しを機械で行う装置。
電子マネー|お金の価値を、電子的なデータで扱う支払いの手段。
IoT|さまざまなモノがインターネットにつながって、情報をやり取りする仕組み。
AI|人間の知的な活動を、コンピュータで実現する技術。
ロボティクス|ロボットの設計・制御などを扱う技術分野。
スマートファクトリー|IoTなどを使って、生産設備を連携させ、自動化・最適化した工場。
