フィルタリング|データや信号から、条件に合うものだけを選び出したり、不要な成分を取り除いたりする処理。|迷惑メールを除外する、ノイズを取り除く。
オープンループ|出力の結果を入力側へ戻さず、決められた操作だけを行う制御方式。|設定した時間だけ加熱する電子レンジ。
応答特性|システムに入力を与えたとき、出力がどのように変化するかを表す性質。
制御安定性|外乱があっても、制御対象が目標の状態に落ち着き、それを保てる性質。
センサー|温度・光・圧力などの物理量を検知して、電気信号に変える装置。
アクチュエーター|電気信号を受けて、モータなどで物理的な動きを生み出す装置。
光学センサー|光の強さや有無を検知するセンサー。|自動ドアの人感検知、照明の自動点灯。
赤外線センサー|赤外線の量を検知して、物の有無や温度を調べるセンサー。
磁気センサー|磁力の変化を検知するセンサー。|ドアの開閉検知、方位磁石。
加速度センサー|速度の変化(加速度)や傾きを検知するセンサー。|スマホの画面の自動回転。
ジャイロセンサー|回転の速さ(角速度)を検知するセンサー。
超音波センサー|超音波を出して、反射して返るまでの時間から距離を測るセンサー。|車のバックセンサー。
温度センサー|温度を検知して、電気信号に変えるセンサー。
湿度センサー|空気中の湿度を検知するセンサー。
圧力センサー|加わる圧力を検知して、電気信号に変えるセンサー。
ひずみゲージ|物体が伸び縮みしたときの、わずかな変形を電気抵抗の変化で測る素子。
サーミスタ|温度によって電気抵抗が大きく変わる素子。温度センサーに使う。
ホール素子|磁界の強さに応じた電圧が発生する素子。磁気センサーに使う。
モーター|電気の力で回転運動を生み出す、アクチュエータの代表的な装置。
油圧シリンダ|油の圧力で、ピストンを直線的に動かす装置。強い力が出せる。
空気圧シリンダ|圧縮空気の力で、ピストンを直線的に動かす装置。
線形リスト|データを一列に並べ、各データが次のデータの場所(ポインタ)を持つデータ構造。
単方向リスト|各要素が「次の要素」だけを指す線形リスト。
双方向リスト|各要素が「前の要素」と「次の要素」の両方を指すリスト。
環状リスト|最後の要素が最初の要素を指し、輪の形につながったリスト。
プッシュ|スタックに、データを積む(追加する)操作。
ポップ|スタックから、いちばん上のデータを取り出す操作。
根|木構造の、いちばん上にある節点。ルートともいう。
葉|木構造で、子を持たない末端の節点。
枝|木構造で、節点と節点をつなぐ線。
2分木|各節点の子が、最大2つまでの木構造。
完全2分木|葉を除くすべての節点が、ちょうど2つの子を持つ2分木。
バランス木|どの葉までの深さも、ほぼ等しくなるよう保たれた木構造。
順序木|子の並び順に意味がある木構造。
多分木|1つの節点が、3つ以上の子を持てる木構造。
探索木|データを効率よく探せるように、決まりを持たせた木構造。
2分探索木|左の子は親より小さく、右の子は親より大きい、という決まりを持つ2分木。
B木|1つの節点に多くのデータを持たせる、バランスした多分木。データベースの索引に使われる。
AVL木|左右の部分木の高さの差を、常に1以下に保つ2分探索木。
深さ優先探索|行き止まりまで奥へ進み、戻って次の枝を探す探索方法。
幅優先探索|起点に近い節点から順に、階層ごとに調べていく探索方法。
先行順|木をたどるとき、親を先に、次に左、右の順で訪れる方法。
後行順|木をたどるとき、左、右の順に訪れ、最後に親を訪れる方法。
中間順|木をたどるとき、左、親、右の順で訪れる方法。
流れ図|処理の流れを、記号と矢印で表した図。フローチャートともいう。
シェルソート|間隔を空けた要素同士で挿入ソートを行い、間隔を狭めながら整列する方法。
2分探索法|整列済みデータの中央と比べ、範囲を半分ずつに絞る探索方法。
ハッシュ表探索法|ハッシュ関数で位置を計算し、直接データを探す方法。
再帰的アルゴリズム|自分自身を呼び出す形で、問題を小さな同じ問題に置き換えて解く手順。
