@meta プロジェクトマネジメント編|マネジメント > プロジェクトマネジメント|基本情報技術者試験「マネジメント」の中のプロジェクトマネジメントの用語集です。プロジェクトの計画、進捗管理、見積り、リスク管理まで含みます。
@group プロジェクトマネジメントの基本|プロジェクトの考え方に関する用語
プロジェクト|期間と目的が決まっていて、独自の成果物を作り出すための、一時的な活動。
プロジェクトマネジメント|プロジェクトの目標を達成するために、計画・実行・管理を行うこと。
プロジェクトマネージャ|プロジェクトの責任者として、全体を管理する人。
ステークホルダ|プロジェクトに関わる、利害関係者。|顧客、経営者、開発メンバー。
PMBOK|プロジェクトマネジメントの知識を、体系的にまとめた国際的なガイド。
プロジェクト憲章|プロジェクトの目的や権限を示し、正式に承認する文書。
プロジェクトマネジメント計画書|プロジェクトの進め方や管理方法を、まとめた計画書。
プロジェクト組織|プロジェクトを進めるために、一時的に作る体制。
プロジェクトの立上げ|プロジェクトを開始することを、正式に決める工程。
プロジェクトの終結|成果物を引き渡し、プロジェクトを完了させる工程。
@group 10の知識エリア|マネジメントの対象となる領域に関する用語
スコープマネジメント|プロジェクトで行う作業の範囲を、明確にして管理すること。
タイムマネジメント|スケジュールを作成し、期限内に完了するよう管理すること。
コストマネジメント|予算内で完了するよう、費用を見積り、管理すること。
品質マネジメント|成果物が、要求された品質を満たすよう管理すること。
人的資源マネジメント|プロジェクトのメンバーを集め、育て、管理すること。
コミュニケーションマネジメント|関係者への情報の伝達や共有を、適切に行うこと。
リスクマネジメント|プロジェクトの目標に影響する不確実な事象を、管理すること。
調達マネジメント|外部から、必要な製品やサービスを購入すること。
ステークホルダマネジメント|関係者の期待を把握し、適切に関わるよう管理すること。
統合マネジメント|プロジェクトの各領域を、調整して全体をまとめること。
@group スコープ・スケジュール管理|作業の範囲と時間に関する用語
WBS|プロジェクトの作業を、細かい作業に階層的に分解した図。
ワークパッケージ|WBSで、最下位まで分解された、管理しやすい作業の単位。
アクティビティ|ワークパッケージを実行するために必要な、個々の作業。
ガントチャート|作業の期間を、横棒で表した工程表。作業の進み具合が分かりやすい。
PERT図|作業の順序関係を矢印でつないで表した図。アローダイアグラムともいう。
クリティカルパス|プロジェクトの開始から終了までの経路のうち、最も長い時間がかかる経路。遅れると全体が遅れる。|A(3日)→B(5日)と、C(4日)のうち長いほうが全体の期間を決める。
余裕時間|全体の完了を遅らせないで、遅らせることのできる時間。フロートともいう。
最早開始日|先行する作業が終わって、最も早く開始できる日。
マイルストーン|プロジェクトの中の、重要な節目となる地点。
@group 見積り・コスト管理|規模や費用に関する用語
見積り|作業に必要な、工数・期間・費用を、予測すること。
工数|作業に必要な、人数と時間の量。|人月(1人が1か月で行う作業量)。
人月|1人が1か月かけて行う作業量を表す単位。
COCOMO|プログラムの規模から、開発の工数や期間を見積もるモデル。
類推見積り|過去の似たプロジェクトの実績をもとに、見積もる方法。
ファンクションポイント法|機能の数と複雑さをもとに、規模を見積もる方法。
ボトムアップ見積り|細かい作業ごとに見積もり、積み上げて全体を求める方法。
アーンドバリューマネジメント|進捗を、金額に換算して、コストと進捗を統合して管理する手法。EVMともいう。
PV|計画どおりなら、現時点までに終わっているはずの作業の価値。計画価値ともいう。
EV|実際に終わった作業を、予算の金額に換算した値。出来高ともいう。
AC|実際に、これまでにかかった費用。実コストともいう。
@group リスク・品質・その他|リスクや品質の管理に関する用語
リスク対応|見つけたリスクに対して、回避・軽減・転嫁・受容のいずれかの対応をとること。
リスク登録簿|見つけたリスクと、その対応策を記録した一覧。
品質計画|プロジェクトの、品質の目標や達成方法を決めること。
パレート図|原因ごとの件数を、多い順に並べ、累積の割合を折れ線で加えた図。
特性要因図|問題の原因を、魚の骨のような形で整理した図。フィッシュボーンともいう。
散布図|2つの項目の関係を、点で表した図。
ヒストグラム|データの分布を、棒グラフで表した図。
管理図|工程が安定しているかを、上下の限界線を使って確認する図。
チェックシート|確認の項目や、点検の結果を記録するための表。
レビュー|プロジェクトの成果物や進捗を、関係者で確認すること。
変更管理|プロジェクトの途中で発生した、計画の変更を管理すること。
