@meta ハードウェア編|コンピュータシステム > ハードウェア|基本情報技術者試験「コンピュータシステム」の中のハードウェアの用語集です。論理回路、組込みシステム、入出力デバイスまで含みます。
@group 論理回路|論理演算を電子回路で実現する部品に関する用語
論理回路|0と1の信号を使って、論理演算を行う電子回路。
ANDゲート|入力がすべて1のときだけ、1を出力する回路。論理積回路ともいう。
ORゲート|入力のどれかが1のとき、1を出力する回路。論理和回路ともいう。
NOTゲート|入力を反転させて出力する回路。
NANDゲート|ANDの結果を反転させて出力する回路。
NORゲート|ORの結果を反転させて出力する回路。
XORゲート|入力が異なるときだけ、1を出力する回路。排他的論理和回路ともいう。
半加算器|1ビット同士の足し算を行い、和と桁上がりを出力する回路。
全加算器|下の桁からの桁上がりも含めて、1ビット同士の足し算を行う回路。
フリップフロップ|1ビットの情報を記憶できる回路。
組合せ回路|出力が、現在の入力だけで決まる論理回路。
順序回路|出力が、現在の入力と過去の状態の両方で決まる論理回路。
@group 組込みシステム|機器の中に組み込まれて動くシステムに関する用語
組込みシステム|家電や自動車などの機器に組み込まれ、その機器を制御するコンピュータシステム。|炊飯器、エアコン、自動車のエンジン制御。
ファームウェア|機器に組み込まれた、基本的な制御を行うソフトウェア。
リアルタイムシステム|決められた時間内に、必ず処理を完了させなければならないシステム。
リアルタイムOS|時間制約を守れるように設計された、組込み機器向けのOS。
マイコン|1つのチップに、CPU・メモリ・入出力機能をまとめた小さなコンピュータ。
SoC|1つのチップの上に、システムに必要な機能をまとめて載せた集積回路。
FPGA|購入後に、利用者が回路の構成を書き換えられる集積回路。
ASIC|特定の用途のために設計・製造する集積回路。
ウォッチドッグタイマ|プログラムの暴走を検出するため、一定時間ごとにリセットの合図を確認するタイマ。
@group センサ・アクチュエータ|外界の情報を取り込み、動かす装置に関する用語
センサ|温度・光・圧力などの物理的な量を、電気信号に変換する装置。
アクチュエータ|電気信号を、モータなどの物理的な動きに変換する装置。
A/D変換|アナログ信号をデジタル信号に変換すること。
D/A変換|デジタル信号をアナログ信号に変換すること。
標本化|アナログ信号を、一定の間隔で取り出すこと。サンプリングともいう。
量子化|標本化で取り出した値を、整数などの段階的な値に丸めること。
符号化|量子化した値を、2進数のデータに変換すること。
IoT|さまざまな「モノ」がインターネットにつながり、情報をやり取りする仕組み。
@group 入出力デバイス|装置の仕組みに関する用語
液晶ディスプレイ|液晶に電圧をかけて光の通り方を制御し、映像を表示する装置。
有機ELディスプレイ|自ら発光する素子を使って、映像を表示する装置。
タッチパネル|画面に触れた位置を検出して、入力を行う装置。
解像度|画像の細かさを表す指標。ピクセル(画素)の数で表す。
dpi|1インチあたりの点(ドット)の数を表す、解像度の単位。
プリンタ|コンピュータのデータを、紙に印刷して出力する装置。
インクジェットプリンタ|細かいインクの粒を吹き付けて印刷するプリンタ。
レーザプリンタ|レーザ光とトナーを使って印刷するプリンタ。
プロッタ|ペンを動かして、図面などを描く装置。
OCR|紙に書かれた文字を読み取って、文字データに変換する技術。
バーコードリーダ|バーコードを光で読み取る装置。
QRコード|縦横に情報を持つ、2次元コード。バーコードより多くの情報を記録できる。
