企業理念|企業が、事業を行ううえでの、基本的な考え方や、存在意義。
多角化|既存の事業とは、異なる分野に、事業を広げること。
シナジー効果|複数の事業や、資源を組み合わせることで、単独よりも、大きな効果が生まれること。相乗効果ともいう。
規模の経済|生産量が増えるほど、1つあたりの、コストが下がること。
範囲の経済|複数の事業を、同時に行うことで、コストを下げられること。
チェンジマネジメント|組織の変革が、うまくいくように、計画・推進すること。
ダイナミックケイパビリティ|環境の変化に、対応して、自社の資源や、能力を組み替えていく能力。
ベストプラクティス|ある分野で、最も成果を上げている、優れた方法や事例。
SDGs|2030年までに、世界が達成すべき、持続可能な開発の目標。
サーキュラーエコノミー|資源を、使い捨てず、再利用や、再生を繰り返して、循環させる経済の仕組み。
競争優位|競合他社よりも、優れた立場にあること。
経験曲線|生産の累積量が、増えるにつれて、単位あたりのコストが下がる関係を示した曲線。
CS|顧客が、商品やサービスに対して、感じる満足の度合い。顧客満足。
グループ経営|親会社と、子会社などを、グループ全体として、一体で運営すること。
TOB|株式を、市場を通さず、公開で買い付ける方法。株式公開買付け。
エコシステム|複数の企業などが、連携して、互いに依存し合いながら、共存共栄する仕組み。
シェアードサービス|グループ内の、共通する業務を、1か所に集約して、効率化する仕組み。
ベンチャービジネス|新しい技術や、発想で、急成長を目指す、新興企業の事業。
クラウドファンディング|インターネットで、不特定多数の人から、少額ずつ資金を集める仕組み。
コストリーダーシップ戦略|他社より、低いコストで、価格競争に勝つ戦略。
差別化戦略|製品やサービスの、独自性を高めて、他社との違いで、競争に勝つ戦略。
集中戦略|特定の市場や、顧客に、経営資源を集中する戦略。
同質化戦略|競合他社の、優れた点を、まねて、同じレベルにする戦略。
ESG投資|環境・社会・企業統治の、3つの視点を考慮する、投資。
VRIO分析|経営資源が、価値・希少性・模倣困難性・組織の、4つの観点から競争優位になるかを分析する手法。
バリューチェーン分析|事業の活動を、価値を生み出す連鎖として捉えて、強みや弱みを分析する手法。
成長マトリクス|製品と市場を、既存と新規に分けて、成長戦略を考える枠組み。
3C分析|顧客・競合・自社の3つの視点から、環境を分析する手法。
STP分析|市場を、細分化し、狙う市場を選び、自社の立場を決める、マーケティングの手法。
コンジョイント分析|商品の、複数の特徴の組合せを、評価させて、顧客が何を重視するかを分析する手法。
サンプリング|全体から、一部を、抽出して調査する方法。
質問法|アンケートなどで、質問して、情報を集める調査方法。
観察法|対象の、行動などを、観察して、情報を集める調査方法。
実験法|条件を変えて、反応の違いを調べる調査方法。
アサンプションマップ|事業やサービスの前提(仮説)を、整理して、検証の優先順位を付けるための図。
バリュープロポジション|顧客に対して、自社が提供できる、独自の価値。
ブランドプロポジション|ブランドが、顧客に約束する、価値。
ブランドアイデンティティ|ブランドが、どのように認識されたいかという、独自の性格や特徴。
マーケティングミックス|製品・価格・流通・販促を、組み合わせて、マーケティングを行うこと。
マーチャンダイジング|売れる商品を、適切な時期・価格・数量で提供するための、計画と管理。
顧客ロイヤルティ|顧客が、特定の企業や商品に対して、持つ愛着や信頼。
ブランド戦略|ブランドの、価値を高めて、競争力にするための戦略。
コンバージョン率|Webサイトの訪問者のうち、購入などの、目的の行動をした人の割合。
リテンション率|顧客が、継続して利用してくれる割合。
カスタマージャーニーマップ|顧客が、商品を知ってから購入するまでの、体験を、時系列で表した図。
ペルソナ|典型的な利用者像として、設定した、架空の人物。
参加型デザイン|利用者も、設計の過程に参加させて、製品などを作る手法。
サービスブループリント|サービスの提供に、関わる、利用者と提供者の行動や、仕組みを、図にしたもの。
プロダクトビジョン|製品が、目指す、将来の姿。
プロダクトライフサイクル|製品が、市場に導入されてから、衰退するまでの、導入期・成長期・成熟期・衰退期の流れ。
ライフサイクルエクステンション|製品の寿命を、延ばす、ための施策。
製品ライン|関連する、製品の、まとまり。
製品ポートフォリオ|自社の、製品群を、分類して、その構成を、検討すること。
