VCS(バージョン管理システム)|ファイルやディレクトリの変更履歴を記録して管理するツール。
バージョン管理のメリット|変更履歴を追跡・確認できる、複数人で共同作業できる、コミット履歴から誰が変更したかを確認できる、の3点が主な利点。
Git|ファイルの変更履歴を管理する分散型のバージョン管理システム。
GitHub|Gitのリポジトリをインターネット上に保存・共有できるクラウドサービス。リモートリポジトリの置き場として使う。
リポジトリ|ファイルとその変更履歴をまとめて保存する場所。
ローカルリポジトリ|自分のPC上にあるリポジトリ。
リモートリポジトリ|GitHubなど、共有サーバー上にあるリポジトリ。
origin|リモートリポジトリに付けられる、標準の呼び名(別名)。cloneすると自動で設定される。
.git|リポジトリの履歴や設定を保存している隠しディレクトリ。これがあるフォルダがリポジトリになる。
パブリックリポジトリ|誰でも見られるように公開されているGitHubのリモートリポジトリ。
プライベートリポジトリ|許可した人だけが見られる、非公開のGitHubのリモートリポジトリ。
集中型バージョン管理システム|ローカルに履歴を持たず、PCから直接サーバーに変更を記録する方式。
分散型バージョン管理システム|各PCのローカルリポジトリに履歴を持ち、あとでリモートリポジトリと同期する方式。Gitはこちら。
SSH|暗号化された通信でリモートのコンピュータと安全につなぐ仕組み。鍵のペアで認証すれば、毎回パスワードを入力せずに接続できる。
秘密鍵|自分だけが持ち、他人に渡してはいけない鍵。SSHでは、この鍵を持つことが本人の証明になる。
公開鍵|相手(GitHubなど)に渡しておく鍵。秘密鍵とペアで作られ、手元の秘密鍵が正しいか照合するために使われる。
id_rsa|SSH鍵のペアを作ったときにできる、秘密鍵のファイル名(RSA方式の場合)。
id_rsa.pub|SSH鍵のペアを作ったときにできる、公開鍵のファイル名(RSA方式の場合)。
初期化|新しいローカルリポジトリを作ること。git initで行う。
clone|リモートリポジトリの内容を丸ごとPCにコピーして、ローカルリポジトリを作るコマンド。
Working Tree(作業ツリー)|リポジトリのフォルダの中で、実際に編集しているファイル群。まだcommitされていない変更も含む。
ステージングエリア|次のcommitに含めたい変更を、いったん置いておく場所。git addで置く。荷造り前の「荷物置き場」のようなもの。
commit|ステージングエリアの変更を、ローカルリポジトリに履歴として記録すること。
commitの4つの情報|commit ID、Author(作成者)、Date(日時)、Commit Message(変更内容の説明)の4つ。
コミットハッシュ(commit ID)|commitごとに自動でつく、40桁ほどの英数字の識別番号。
スナップショット|commitした瞬間の、すべてのファイルの中身を丸ごと記録したもの。
log|commitの履歴(ID・作成者・日時・メッセージ)を一覧で表示するコマンド。
diff|変更前と変更後のファイル内容の違いを表示するコマンド。
変更差分|ファイルの変更前と変更後の内容の違い。
restore|作業ツリーのファイルを、ステージング済みの状態(なければ直前のcommitの状態)に戻すコマンド。編集を取り消したいときに使う。--stagedを付けると、ステージングを取り消せる。
revert|指定したcommitの変更を打ち消す、新しいcommitを作るコマンド。履歴は消えずに残る。
gitignore|Gitの管理対象から外したいファイル名を書いておく専用ファイル。パスワードなどの機密情報や自動生成ファイルを、誤って登録しないために使う。すでに管理中のファイルには効かない。
ブランチ|履歴を枝分かれさせて、本流に影響を与えず並行して作業できる仕組み。実体は、枝の先端のcommitを指すポインタ。
ポインタ|特定のcommitを指し示す「しおり」のようなもの。中身はcommit IDを書いたファイル。ブランチやHEADもポインタの一種。
switch|作業中のブランチを、別のブランチに切り替えるコマンド。
*(アスタリスク)|git branchの一覧で、今作業中のブランチにつく印。
HEAD|今作業中のブランチ(その先頭のcommit)を指すポインタ。
head|各ブランチの先頭のcommitを指すポインタ。
トラッキングブランチ|リモートのブランチと紐づけたローカルのブランチ。pullやpushの相手が自動で決まる。
merge|指定したブランチの変更を、今のブランチに取り込んで合流させるコマンド。
コンフリクト|複数のブランチが同じファイルの同じ行を別々に変更していて、どちらを採用すべきかGitが判断できない状態。
rebase|ブランチの起点を付け替えて、commitを別のcommitの上に積み直すコマンド。commit履歴が書き換わる。
fetch|リモートリポジトリの最新情報を取得するだけのコマンド。作業中のブランチは変更しない。
pull|fetchとmergeをまとめて行い、リモートリポジトリの変更をローカルに取り込むコマンド。
push|ローカルリポジトリのcommitを、リモートリポジトリに反映させるコマンド。
pull request(PR)|自分のブランチの変更を取り込んでもらうよう依頼し、レビューを受ける仕組み。
レビュー|他の人のコードを確認して、改善点などの意見を伝えること。
フィードバック|相手の成果物に対して、感想や意見を伝えること。
git config|Gitの設定を確認・編集するコマンド。
Gitの設定の3つの適用範囲|system(PC上の全ユーザー)、global(今のユーザー)、local(特定のリポジトリ)の3つ。
Gitの設定の優先順位|local > global > system の順に優先される。狭い範囲の設定が広い範囲の設定より優先される。
prefix|名前の先頭につけて種類を区別するための文字列(接頭辞)。例:featureブランチを「feature/login」のように名づける。
stash@{n}|git stashで退避した変更を区別する識別名。nは番号で、最新のものがstash@{0}。
GitHub Actions|コードのテストやデプロイなどを、GitHub上で自動実行する機能。CI/CDに使う。
CI(継続的インテグレーション)|コードをpushしたりPRを作ったりするたびに、テストや構文チェックを自動実行する仕組み。
CD(継続的デリバリー)|CIのあと、アプリを利用者が使える状態にするまでを自動化する仕組み。GitHubなら、サーバーへの配置(デプロイ)と公開まで自動で行う。
Lint(Linting)|コードの文法ミスや書き方の問題点を、実行前に自動で検出するツール、またはその作業。
作業ログ|調べたことや考えたことを、Discordなどのチャットツールにスレッド形式でメモとして残す記録の方法。
スレッド|ひとつの話題に対するコメントの流れ。
