情報の組織化|情報を、分類や順序などのルールで整理して、探しやすく理解しやすくすること。
情報の構造化|情報を、階層や関連づけによって、まとまりのある構造に整理すること。
ラベル|項目や内容が、何であるかを示す名前や見出し。
チャンク|人が一度に処理しやすいように、まとめた情報のかたまり。
ナビゲーション|利用者が、目的の情報へ迷わずたどり着くための、案内の仕組み。|メニュー、パンくずリスト。
インタラクティブシステム|利用者の操作に応じて、システムが反応を返す、対話的なシステム。
インタラクションの原則|利用者とシステムの、やり取りを設計するときの、守るべき基本的な考え方。
ヒューマンインタフェース|人と機械との間で、情報をやり取りするための接点。
音声認識|人の話した声を、文字などのデータに変換する技術。
画像認識|画像の中に、何が写っているかを判別する技術。
動画認識|動画の中の、物や動きを判別する技術。
特徴抽出|データから、識別に役立つ特徴を、取り出すこと。
選択的知覚|人が、多くの情報の中から、関心のあるものだけに注意を向ける性質。
ユーザー操作の分析|利用者が、どのように操作しているかを記録・分析して、使いやすさの改善に生かすこと。
身体的適合性|人の体の特性(手の大きさや姿勢)に、合った作りになっていること。
シグニファイア|物の使い方を、利用者に伝える手がかり。|押せそうに見えるボタン。
ノンバーバルインタフェース|言葉ではなく、表情や動作など、言葉以外の手段を使うインタフェース。
自然言語インタフェース|普段使う言葉(自然言語)で、指示できるインタフェース。
NUI|タッチや音声、身振りなど、人の自然な動作で操作できる、インタフェース。
VUI|音声で操作する、インタフェース。
ジェスチャーインタフェース|手や体の動きで、操作するインタフェース。
マルチタッチインタフェース|複数の指で同時に触れて操作する、インタフェース。|ピンチ操作での拡大・縮小。
ウィンドウ|画面上で、アプリケーションなどの表示に使う、四角い領域。
アイコン|機能やファイルを、小さな絵で表したもの。
トグルボタン|押すたびに、オンとオフが切り替わるボタン。
リストボックス|選択肢が、一覧で表示され、その中から選ぶ部品。
ポップアップメニュー|操作をきっかけに、その場に現れるメニュー。
アコーディオン|項目を押すと、内容が開閉して表示される、部品。
ホバー|マウスポインタを、要素の上に乗せた状態。
ツールチップ|ポインタを乗せたとき、補足の説明を表示する、小さな吹き出し。
テキストボックス|文字を入力するための、欄。
UXデザイン|製品やサービスを通じた、利用者の体験全体を、設計すること。
UXデザインの五段階モデル|戦略・要件・構造・骨格・表層の5段階で、UXを設計する考え方。
デザインの原則|近接・整列・反復・対比など、見やすいデザインにするための、基本的な決まり。
インフォグラフィック|情報やデータを、図や絵を使って、分かりやすく表現したもの。
タイポグラフィ|文字の書体・大きさ・配置などを、読みやすく整えるデザイン。
ムードボード|デザインの方向性を、共有するために、画像や色などを集めて貼ったボード。
画面構成|画面に、どの部品をどう配置するかという、全体の構成。
情報の関係性|情報同士のつながりや、上下関係。
ニューメリックチェック|入力された値が、数字だけで構成されているかを確認する方法。
フォーマットチェック|入力された値が、決められた形式に従っているかを確認する方法。
リミットチェック|入力された値が、決められた範囲内にあるかを確認する方法。
組合せチェック|複数の項目の値の組合せが、矛盾していないかを確認する方法。
照合チェック|入力値が、すでに登録されているデータと一致するかを確認する方法。
バランスチェック|合計値などが、つり合っているかを確認する方法。
チェックキャラクター|コードの誤りを見つけるための、末尾に付ける検査用の文字。
フォームオーバーレイ|帳票の様式を、あらかじめ用意した用紙に重ねて印刷する方法。
区分コード|データを、いくつかの区分に分けて、区分ごとに付けるコード。
表意コード|コードそのものが、意味を連想させる、コード。
合成コード|複数のコードを、組み合わせて作るコード。
フレーム|画面を、複数の領域に、分割した、それぞれの領域。
サイト内検索機能|Webサイトの内部の情報を、探すための機能。
クロスブラウザ|異なる種類のWebブラウザでも、同じように表示・動作すること。
プログレッシブエンハンスメント|基本の機能を、すべての環境で使えるようにし、高機能な環境ではさらに機能を追加する設計の考え方。
レスポンシブWebデザイン|画面の大きさに応じて、レイアウトが自動的に変わる、Webデザイン。
UXライティング|利用者が、迷わず操作できるよう、画面上の文章を分かりやすく書くこと。
ワイヤーフレーム|画面の配置を、線と枠で簡単に表した、設計図。
メディアクエリ|画面の幅などの条件に応じて、CSSを切り替える仕組み。
カルーセル|複数の画像などを、横にスライドして、順番に表示する部品。
JIS Z 8530|人間中心設計のプロセスについての、規格。
JIS X 8341|高齢者や障害のある人を含めた、情報通信の利用しやすさ(アクセシビリティ)に関する規格。
ピクトグラム|情報を、絵文字のように、単純な図で表したもの。|非常口の表示。
ユニバーサルデザインフォント|誰にとっても、読みやすいように設計された、書体。
WAI|Webのアクセシビリティを、向上させるための、W3Cの取組み。
WCAG|Webコンテンツを、誰にでも利用できるようにするための、ガイドライン。
ヒューリスティック評価|専門家が、使いやすさの経験則にもとづいて、画面などを評価する方法。
ユーザビリティテスト|実際の利用者に、製品を使ってもらい、使いにくい点を見つけるテスト。
インタラクティブ性|利用者の操作に応じて、内容が変化する性質。双方向性ともいう。
Webコンテンツ|Webサイト上で、提供される文章・画像・動画などの内容。
ハイパーメディア|文字だけでなく、画像や音声など、複数のメディアを、リンクでつないだ情報の形態。
コンテナフォーマット|映像や音声などを、1つのファイルにまとめて、格納するための形式。|MP4、AVI。
オーサリング環境|文字・画像・音声などを組み合わせて、マルチメディアの作品を作るための環境。
PDF|レイアウトを保ったまま、どの環境でも、同じように文書を表示できるファイル形式。
4K/8K|横の画素数が、約4000または約8000の、高精細な映像の規格。
PCM|アナログ信号を、標本化・量子化・符号化して、デジタルにする方式。
MIDI|電子楽器の演奏の情報を、やり取りするための規格。
AU|Sun Microsystemsが定めた、音声ファイルの形式。
ラスターデータ|画像を、画素(ピクセル)の集まりで表現するデータ形式。
ベクターデータ|画像を、点・線・面などの、数式で表現するデータ形式。
BMP|Windowsで使われる、圧縮しない、画像の形式。
TIFF|印刷などで使われる、高品質な画像の形式。
HEIF|高い圧縮率で、写真などを保存できる、画像の形式。
Exif|デジタルカメラの画像に、撮影日時や設定などの、情報を付加する規格。
フレーム|動画を構成する、1枚1枚の静止画。
H.264|動画を、高効率で圧縮する、規格。
HEVC|H.264よりも、圧縮効率が高い、動画の圧縮規格。
H.265|HEVCと、同じ動画の圧縮規格。
QuickTime|Appleが開発した、動画の形式や再生の仕組み。
AVI|Windowsで使われる、動画と音声を、格納するファイル形式。
ZIP|複数のファイルを、1つにまとめて圧縮する形式。
圧縮率|圧縮したあとの、データの大きさが、元のデータの大きさの、どのくらいになるかを表す割合。
MMR|ファクシミリで使われる、白黒画像の、圧縮方式。
光の3原色|光の色を作る、赤・緑・青の3色。
色の3原色|インクなどの色を作る、シアン・マゼンタ・イエローの3色。
加法混色|光を混ぜるほど、明るくなる色の混ぜ方。
減法混色|色を混ぜるほど、暗くなる色の混ぜ方。
コントラスト|明るい部分と、暗い部分の、明るさの差。
ppi|画像や画面の、1インチあたりの画素数。
ペイント系ソフトウェア|画像を、画素の集まりとして、描く・加工するソフトウェア。
ドロー系ソフトウェア|図形を、線や面などの、数式として扱って描くソフトウェア。
レイヤー|画像を、透明なシートのように、重ねて編集するための階層。
トリミング|画像の、必要な部分だけを切り取ること。
テレビゲーム|テレビ画面などで、遊ぶ、コンピュータゲーム。
メタバース|インターネット上に作られた、多くの人が、アバターなどで交流する仮想空間。
ビデオオンデマンド|利用者が、見たい映像を、好きなときに、選んで視聴できるサービス。
3次元映像|奥行きを、持たせて表現した映像。
ホログラム|光の干渉を利用して、立体的な像を再現する技術。
モーションキャプチャー|人などの動きを記録して、デジタルデータとして取り込む技術。
バーチャルサラウンド|少ないスピーカーで、立体的な音の広がりを、再現する技術。
