@meta システム戦略編|ストラテジ > システム戦略|基本情報技術者試験「ストラテジ」の中のシステム戦略の用語集です。業務プロセス、ソリューション、システム企画、調達まで含みます。
@group 情報システム戦略|経営とITを結びつける考え方に関する用語
情報システム戦略|経営戦略を実現するために、情報システムをどう整備・活用するかを定めた戦略。
全体最適化|部門ごとの都合ではなく、組織全体で見て最も良くなるよう、システムを整えること。
EA|組織全体の業務とシステムを、整理・体系化して最適化するための設計手法。エンタープライズアーキテクチャともいう。
DX|デジタル技術を活用して、ビジネスや組織のあり方を変革すること。
BPR|業務のやり方を、根本から見直して、抜本的に再設計すること。
BPM|業務プロセスを、継続的に分析・改善していく管理手法。
ワークフローシステム|申請や承認などの、業務の流れを電子化して自動的に進める仕組み。
RPA|人が行うパソコンの定型作業を、ソフトウェアのロボットに自動で行わせる技術。
BCP|災害などの緊急時にも、事業を継続または早期に復旧するための計画。
@group 業務プロセス・システム|業務を支える情報システムに関する用語
ERP|企業の基幹業務を統合して管理し、経営資源を有効に活用する仕組み。
CRM|顧客の情報を一元管理して、良好な関係を築き、売上を高める手法。
SCM|原材料の調達から、生産、販売までの流れを全体で最適化する手法。
SFA|営業活動を支援して、効率化する仕組み。
POSシステム|商品の販売時に、売上データをその場で収集・管理するシステム。
EDI|企業間で、受発注などのデータを、電子的に交換する仕組み。
電子商取引|インターネットなどを介して、商品やサービスを売買する取引。ECともいう。
B2B|企業と企業の間の、取引。
B2C|企業と、消費者との間の、取引。
C2C|消費者と、消費者との間の、取引。
ナレッジマネジメント|個人が持つ知識やノウハウを、組織で共有し活用する経営手法。
グループウェア|組織内での、情報共有や共同作業を支援するソフトウェア。
@group ソリューションビジネス|システムの提供の形に関する用語
ソリューション|顧客の課題を、情報システムなどによって解決すること。
アウトソーシング|自社の業務やシステムの運用を、外部の専門の会社に委託すること。
SIer|顧客のために、システムの設計から構築、運用までを請け負う事業者。
ハウジング|顧客のサーバなどを、事業者の施設に預かるサービス。
ホスティング|事業者のサーバの、一部または全部を借りて利用するサービス。
ASP|インターネット経由でアプリケーションを提供する事業者、またはそのサービス。
シェアリングエコノミー|モノや場所、技術などを、多くの人で共有して活用する経済の仕組み。
@group システム企画|システムを作る前の計画に関する用語
システム化計画|情報システムを、どのように作るかを計画すること。
システム化構想|経営戦略に基づいて、情報システムの目的や方向を、大づかみに描くこと。
要件定義|システムに、必要な機能や性能を定めること。
業務要件|業務上、システムに求められる要件。
投資対効果|システムに投資する費用に対して、得られる効果。ROIともいう。
ROI|投資に対して、どれだけの利益が得られたかを示す指標。
費用対効果|かけた費用に対して、得られる効果の大きさ。
@group 調達|システムや機器を手に入れることに関する用語
調達|システム開発などに必要な、製品やサービスを外部から得ること。
RFI|調達の前に、ベンダに、技術や製品に関する情報の提供を依頼する文書。情報提供依頼書ともいう。
RFP|ベンダに、システムの提案を依頼するための文書。提案依頼書ともいう。
提案書|ベンダが、RFPに対して、実現方法や見積りを示した文書。
請負契約|完成した成果物に対して、報酬が支払われる契約。
準委任契約|作業を行うことを目的とし、成果物の完成は責任を負わない契約。
派遣契約|派遣元が、派遣先の指揮命令のもとで働く人を提供する契約。
SLA|サービスの品質の水準を、提供者と利用者の間で取り決めた合意。
グリーン調達|環境への負荷が小さい、製品やサービスを優先して購入すること。
