@meta ソフトウェア開発管理技術編|開発技術 > ソフトウェア開発管理技術|基本情報技術者試験「開発技術」の中のソフトウェア開発管理技術の用語集です。開発環境の管理、開発の進め方、品質管理まで含みます。
@group 開発環境の管理|開発のための道具や資産の管理に関する用語
構成管理|ソフトウェアの構成要素(ソースやドキュメントなど)を、一貫して管理すること。
変更管理|ソフトウェアへの変更を、決められた手続きで管理すること。
バージョン管理|ファイルの変更履歴を記録し、過去の状態を取り出せるようにすること。
リポジトリ|ソースコードなどの資産と、その変更履歴を保管する場所。
Git|分散型のバージョン管理システム。
ブランチ|開発の流れを分けて、並行して作業できるようにする仕組み。
マージ|分かれたブランチの変更を、1つにまとめること。
CI|ソースが変更されるたびに、自動でビルドやテストを行う開発手法。継続的インテグレーションともいう。
CD|テストを通ったソフトウェアを、自動的にリリースまで行う手法。継続的デリバリともいう。
ビルド|ソースコードから、実行できる形のプログラムを作ること。
統合開発環境|エディタやデバッガなどの開発道具を、まとめて使えるようにしたソフトウェア。IDEともいう。
CASEツール|ソフトウェア開発の作業を、コンピュータで支援するツールの総称。
@group 開発手法・レビュー|開発の進め方や確認に関する用語
ソフトウェアレビュー|開発の成果物を、関係者で確認し、誤りを早期に発見する活動。
ウォークスルー|作成者が、関係者に成果物を説明しながら、誤りを指摘してもらうレビュー。
インスペクション|専門の検査者が、決まった手順で厳格に行うレビュー。
ペアプログラミング|2人1組で、1台のコンピュータを使ってプログラムを書く手法。
テスト駆動開発|先にテストを書き、それを通るようにプログラムを作る開発手法。TDDともいう。
DevSecOps|開発と運用に加えて、セキュリティも最初から組み込む考え方。
ソフトウェア再利用|すでにある部品や設計を、別の開発に使い回すこと。
ソフトウェアパッケージ|完成した状態で、販売されているソフトウェア。
コンポーネント|再利用しやすい単位にまとめた、ソフトウェアの部品。
@group 品質管理|ソフトウェアの品質に関する用語
ソフトウェア品質|ソフトウェアが、利用者の要求を満たしている度合い。
機能性|ソフトウェアが、必要な機能を備えているかどうかという品質。
信頼性|ソフトウェアが、安定して動き続けるかという品質。
使用性|利用者にとって、使いやすいかという品質。
効率性|資源や時間を、無駄なく使えるかという品質。
保守性|修正や改良が、しやすいかという品質。
移植性|別の環境へ移しても、動かしやすいかという品質。
ISO/IEC 25010|ソフトウェアの品質を、評価するための国際規格。
品質保証|製品が、要求された品質を満たすことを、保証するための活動。
品質管理|品質を、目標どおりに保つための活動。
バグ管理図|発見したバグの累積数を、時間の経過に沿って表したグラフ。信頼度成長曲線の目安にする。
バグ密度|プログラムの規模あたりの、バグの数。|1,000行あたり5件など。
ソフトウェアメトリクス|ソフトウェアの規模や品質を、数値で測るための尺度。
ステップ数|プログラムの、命令の行数。ソフトウェアの規模を表す指標。
ファンクションポイント法|機能の数と複雑さから、ソフトウェアの規模を見積もる方法。
@group 開発の知的財産|ソフトウェアの権利に関する用語
著作権|プログラムなどを作った人に、自動的に生じる権利。
ライセンス|ソフトウェアの、利用を許諾する契約や条件。
フリーソフトウェア|無料で使えるソフトウェア。著作権は放棄されていない。
シェアウェア|試用期間の後、気に入れば代金を支払って使うソフトウェア。
