プロジェクトの環境|プロジェクトの、進め方に、影響を与える、組織や社会の状況。
プロジェクトライフサイクル|プロジェクトの、開始から終結までの、一連のフェーズ。
プロジェクトの制約|プロジェクトを進めるうえでの、範囲・時間・費用・品質などの、制限。
テーラリング|標準の手順を、プロジェクトの状況に合わせて、調整すること。
JIS Q 21500|プロジェクトマネジメントの、手引きを、定めたJIS規格。
コンピテンシー|高い成果を出す人に見られる、行動の特性や、能力。
立ち上げのプロセス群|プロジェクトを、開始する、プロセスのまとまり。
計画のプロセス群|プロジェクトの、進め方を、計画する、プロセスのまとまり。
実行のプロセス群|計画に、基づいて、作業を実行する、プロセスのまとまり。
管理のプロセス群|進捗や、品質などを、監視・管理する、プロセスのまとまり。
終結のプロセス群|プロジェクトを、完了させる、プロセスのまとまり。
統合の対象群|プロジェクト全体を、調整して、まとめる領域。
ステークホルダの対象群|関係者に関する、マネジメントの領域。
スコープの対象群|プロジェクトの、作業範囲に関する、マネジメントの領域。
資源の対象群|人や設備などの、資源に関する、マネジメントの領域。
時間の対象群|スケジュールに関する、マネジメントの領域。
コストの対象群|費用に関する、マネジメントの領域。
リスクの対象群|リスクに関する、マネジメントの領域。
品質の対象群|品質に関する、マネジメントの領域。
調達の対象群|外部からの、調達に関する、マネジメントの領域。
コミュニケーションの対象群|情報の伝達に関する、マネジメントの領域。
プロジェクトスポンサー|プロジェクトの、資金や資源を提供し、成功に責任を持つ人。
プロジェクトマネジメントチーム|プロジェクトの管理業務を、担当するチーム。
プロジェクトチーム|プロジェクトの、作業を、実際に行うチーム。
PMO|組織内の、複数のプロジェクトを、支援し、管理する、専門の部署。
作業計画立案|プロジェクトで行う、作業の、計画を立てること。
作業量見積り|作業に、必要な工数などを、見積もること。
進捗管理|作業が、計画どおりに進んでいるかを、確認して、管理すること。
コスト管理|費用を、計画の範囲内に収めるよう、管理すること。
リスク管理|プロジェクトの、目標に影響する、リスクを、管理すること。
問題発見|プロジェクトの、問題を、見つけること。
問題報告|見つけた問題を、関係者に、報告すること。
対策立案|問題に対する、対策を、考えること。
文書化|決定事項や、結果を、文書に残すこと。
コミュニケーション|関係者の間で、情報を、伝え合うこと。
プロジェクト憲章の作成|プロジェクトを、正式に承認するための、憲章を作ること。
プロジェクト全体計画の作成|プロジェクト全体の、計画を、まとめること。
プロジェクト作業の指揮|計画にもとづいて、プロジェクトの作業を、指揮すること。
プロジェクト作業の管理|作業の状況を、監視し、必要な対応を行うこと。
変更の管理|プロジェクト中の変更要求を、審査し、承認や却下を決めること。
プロジェクトフェーズ又はプロジェクトの終結|フェーズや、プロジェクトを、完了させること。
得た教訓の収集|プロジェクトから、得た知見を集めて、記録すること。
プロジェクト作業規定書|プロジェクトの、作業内容を、定めた文書。
プロジェクト全体計画|プロジェクトの、実行や管理の方法を、定めた計画。
変更要求|プロジェクトの、内容を、変更したいという、要求。
承認された変更|審査を経て、承認された、変更の要求。
変更登録簿|変更要求と、その処理状況を、記録した一覧。
プロジェクト完了報告書|プロジェクトの、結果を、まとめた報告書。
プロジェクト又はフェーズの終結報告書|プロジェクトや、フェーズの、終結時の、報告書。
得た教訓文書|プロジェクトから得た、教訓を、まとめた文書。
ベースライン|承認された、計画の基準となる、内容。変更を管理する際の基準になる。
CCB|変更要求を、審査し、承認・却下を決める、委員会。変更管理委員会ともいう。
ステークホルダの特定|プロジェクトの、関係者を、洗い出すこと。
ステークホルダのマネジメント|関係者の、期待や、関心を把握し、適切に対応すること。
ステークホルダ登録簿|関係者の情報を、記録した、一覧。
ステークホルダ分析|関係者の、影響力や、関心などを、分析すること。
スコープの定義|プロジェクトの、作業範囲を、明確にすること。
WBSの作成|作業を、階層的に、細かく分解して、WBSを作ること。
活動の定義|WBSの、最下位の作業を、実行するための、具体的な活動を、洗い出すこと。
スコープの管理|作業範囲が、計画どおりか監視し、変更を管理すること。
スコープ規定書|プロジェクトの、作業範囲を、詳しく記述した文書。
WBS辞書|WBSの、各要素について、詳しく説明した文書。
活動リスト|プロジェクトで行う、活動を、一覧にしたもの。
進捗データ|作業の、進み具合を示す、データ。
スコープ|プロジェクトで、行う作業の、範囲。
プロジェクトスコープのクリープ|作業範囲が、管理されないまま、少しずつ、広がってしまうこと。
プロジェクトチームの編成|プロジェクトの、メンバーを、集めて、チームを作ること。
資源の見積り|作業に必要な、人や設備などの資源を、見積もること。
プロジェクト組織の定義|プロジェクトの、組織の構成や、役割を、定めること。
プロジェクトチームの開発|チームの、能力や協力関係を、高めること。
資源の管理|プロジェクトで使う、資源を、適切に管理すること。
プロジェクトチームのマネジメント|メンバーの、成果を追跡し、対応や調整を行うこと。
資源要求事項|作業に、必要な資源の、種類や量。
プロジェクトの組織図|プロジェクトの、体制を、図で示したもの。
OBS|プロジェクトの、組織を、階層的に、表した図。組織構成図。
活動の順序付け|活動の、前後関係を、決めること。
活動期間の見積り|各活動に、必要な期間を、見積もること。
スケジュールの作成|活動の、順序と期間から、スケジュールを、作ること。
スケジュールの管理|スケジュールの進み具合を、監視し、変更を管理すること。
活動順序|活動の、実行の、順序。
活動所用期間見積り|活動に、必要な期間の、見積り。
スケジュールの制約|スケジュールを、決めるうえで、守るべき条件。
スケジュール|作業の、開始と終了の、予定をまとめたもの。
パラメトリック見積り|過去のデータと、規模などの、数値との関係から、見積る方法。
三点見積り|楽観値、悲観値、最頻値の、3つの見積りから、期待値を求める方法。
スケジュールネットワーク分析|活動の、順序関係を、図にして、日程を分析する手法。
PERT|作業の順序関係を、ネットワーク図に表して、日程を管理する手法。
CPM|作業時間と、費用の関係を分析して、最短の日程を求める手法。
アローダイアグラム|作業を、矢印で表し、順序関係を示した図。PERT図ともいう。
クラッシング|費用を追加して、作業期間を、短縮する手法。
ファストトラッキング|順番に行う作業を、並行して行い、期間を短縮する手法。
ラグ|後続の作業を、意図的に遅らせる、時間。
リード|後続の作業を、前倒しで、始める、時間。
EVM|進捗を、金額に換算して、コストとスケジュールを、統合的に管理する手法。
大日程計画表|プロジェクト全体を、大まかな期間で、示した計画表。
中日程計画表|大日程を、詳しくした、中程度の粒度の、計画表。
小日程計画表|日単位などの、詳細な作業を、示した計画表。
進捗報告|作業の、進み具合を、関係者へ報告すること。
コストの見積り|プロジェクトに、必要な費用を、見積もること。
予算の作成|見積りを、積み上げて、予算を決めること。
コストの管理|費用を、監視し、予算内に、収めるよう管理すること。
予算|プロジェクトに使える、費用の上限。
実コスト|実際に、使った費用。ACともいう。
予想コスト|完了までに、かかると予想される、費用。
LOC法|プログラムの、行数(LOC)から、開発の規模や工数を、見積もる方法。
COCOMOⅡ|プログラムの、規模から、開発の工数や期間を、見積もるモデルの、改良版。
コストベースライン|承認された、コストの基準。
リスクの特定|プロジェクトに、影響する、リスクを、見つけ出すこと。
リスクの評価|見つけたリスクの、可能性と影響を、評価すること。
リスクへの対応|リスクに対する、対策を、決めて実施すること。
リスクの管理|リスクの状況を、継続して、監視し、管理すること。
優先順位付けされたリスク|重要度の順に、並べられた、リスク。
リスクの定性的分析技法|リスクを、大・中・小などの、言葉で、評価する技法。
リスクの定量的分析技法|リスクを、数値で、評価する技法。
品質の計画|プロジェクトの、品質の目標や、達成方法を、決めること。
品質保証の遂行|品質の要求を、満たしていることを、確かめる活動を、行うこと。
品質管理の遂行|成果物が、品質の要求を満たしているかを、検査すること。
品質要求事項|成果物に、求められる品質の条件。
検査報告書|検査の結果を、まとめた報告書。
予防処置|問題が、起きる前に、それを防ぐために取る処置。
プロジェクトにおける品質管理測定値の活用|品質を、測定した値を、分析して、品質改善に生かすこと。
費用便益分析|費用に対して、得られる便益を、比較して、評価する手法。
調達の計画|外部から、何を調達するかを、計画すること。
供給者の選定|調達先を、評価して選ぶこと。
調達の運営管理|契約に従って、調達が、行われるよう管理すること。
契約書又は注文書|調達の内容や、条件を、取り決めた、書面。
プロジェクトにおける調達戦略|調達の、進め方についての、方針。
コミュニケーションの計画|必要な情報を、誰に、いつ、どう伝えるかを、計画すること。
情報の配布|必要な情報を、関係者へ伝えること。
コミュニケーションのマネジメント|情報の、共有や、伝達が、うまくいくよう管理すること。
進捗報告書|作業の、進み具合を、まとめた報告書。
配布情報|関係者に、伝える情報。
双方向コミュニケーション|情報を、伝え合う、やり取り。
プッシュ型コミュニケーション|送り手が、受け手へ、一方的に、情報を送る方式。
プル型コミュニケーション|受け手が、必要なときに、自分で情報を取りに行く方式。
電子メール|文章を、ネットワークで送り合う、通信手段。
ボイスメール|音声を、録音して、送る方式。
テレビ会議|離れた場所を、映像と音声でつないで、行う会議。
紙面|紙に書かれた、文書での伝達。
コミュニケーションチャネル|情報を、やり取りするための、手段や経路。
