利用の状況|システムが、どんな人が、どんな場面で、使われるかという状況。
運用シナリオ|システムが、実際に運用される場面を、時系列などで具体的に描いたもの。
インタフェースファイル|他のシステムとの、データのやり取りに使う、ファイル。
サービス|システムが、利用者や他のシステムに、提供する機能。
システム機能仕様|システムが、備えるべき機能を、具体的に記述した仕様。
データベース要件|システムが、扱うデータや、データベースに対する要件。
テスト要件|システムのテストで、確認すべき事項に対する要件。
セキュリティ要件|システムが、備えるべき、セキュリティに関する要件。
移行要件|旧システムから、新システムへ、移行するための要件。
運用要件|システムを、運用するうえでの要件。
保守要件|システムを、保守するうえでの要件。
障害対応|障害が起きたときの、対応の方法。
教育|システムを利用する人に、使い方などを、教えること。
訓練|実際の場面を想定して、操作などを、練習すること。
費用|システムの、開発や運用にかかる費用。
実行環境要件|システムが、動作する環境に対する要件。
周辺インタフェース要件|システムが、接続する周辺の機器やシステムとの、インタフェースに対する要件。
品質要件|システムが満たすべき、品質に対する要件。
双方向の追跡可能性|要件から成果物へ、成果物から要件へ、どちらの向きにも、たどれること。
レビュー参加者|レビューに、参加する人。
レビュー方式|レビューの、進め方。
ソフトウェア構成品目|ソフトウェアを、構成する、管理の単位となる要素。
インタフェース設計|システム間や、モジュール間の、インタフェースを設計すること。
セキュリティ実現方式|セキュリティ要件を、実現するための、具体的な方式。
業務モデリング|業務の、流れや、構造を、図などを使って表すこと。
伝票設計|伝票の、様式や記載項目を、設計すること。
データモデリング|業務で扱うデータを、整理して、データの構造をモデルとして表すこと。
ユースケース|利用者が、システムを使って、目的を達成する、一連の流れ。
ユーザーストーリー|利用者の視点から、望む機能を、短い文で表したもの。|「利用者として、〇〇したい。なぜなら〜だから」
シナリオ|システムの、利用や動作の、流れを、場面ごとに記述したもの。
サービスの定義|提供するサービスの、内容や、条件を、定めること。
実装制約条件|実装にあたって、守らなければならない、条件。
品質特性|品質を、評価する視点となる、性質。
トレーサビリティマトリクス|要件と、設計やテストなどの成果物との、対応関係を、表にしたもの。
モックアップ|画面や、帳票の、見た目を、確認するために作る、実物に似せた模型。
プロトタイプ|要件や、設計を確認するために作る、試作品。
エピック|アジャイル開発で、複数のユーザーストーリーに、分けられる、大きな要求。
ストーリーポイント|アジャイル開発で、ユーザーストーリーの、規模や、難しさを表す、相対的な見積りの単位。
プロダクトバックログ|アジャイル開発で、製品に必要な要求を、優先順位を付けて並べた一覧。
SysML|システム全体の設計を、表すための、モデリング言語。UMLを拡張している。
ハードウェア構成品目|システムを構成する、ハードウェアの、管理の単位。
手作業|コンピュータではなく、人が行う作業。
利用者作業範囲|システムの利用者が、行う作業の、範囲。
アーキテクチャ|システムの、基本的な構造や、設計の考え方。
ハードウェア要素|システムを構成する、ハードウェアの要素。
ソフトウェアシステム要素|システムを構成する、ソフトウェアの、まとまりとなる要素。
ソフトウェア要素|ソフトウェアを構成する、要素。
マイクロサービスアーキテクチャ|小さな独立したサービスを、組み合わせて、システムを構築する設計の考え方。
サーバレスアーキテクチャ|サーバの管理を、クラウド事業者に任せて、機能単位で構築する設計の考え方。
擬似コード|プログラムの処理を、プログラム言語に近い形で、簡略に記述したもの。
インタフェース仕様|インタフェースの、データ形式や、手順などを、定めた仕様。
サービス記述|サービスの内容や、利用方法を、記述したもの。
手順|作業を行う、順序や、方法。
NoSQLデータベース|関係データベース以外の、方式で、データを扱う、データベース。
テスト要求事項|テストで確認する、必要がある事項。
クリーンアーキテクチャ|業務の中心となる部分を、外部の技術から独立させる、設計の考え方。
構造化|プログラムや設計を、整理された構造で、組み立てること。
ソフトウェアユニット|ソフトウェアを、構成する、最小のテスト・管理の単位。
ソフトウェアユニット分割|ソフトウェアを、ユニットに分けること。
ソフトウェアユニット機能仕様決定|各ユニットの、機能の仕様を、決めること。
部品|再利用できる、プログラムなどの、まとまり。
入出力設計|入力と出力の、方法や形式を、設計すること。
部品化|プログラムなどを、再利用できる、部品にすること。
再利用|すでにある、部品や設計を、別の開発で使うこと。
入出力詳細設計|入出力の、詳細な項目や、形式を決めること。
インタフェース設計基準|インタフェースを設計する際の、守るべき基準。
ソフトウェアユニット間インタフェース|ソフトウェアユニット同士が、やり取りするための、インタフェース。
チェックリスト|確認すべき項目を、一覧にしたもの。
ソフトウェア統合テスト仕様|ソフトウェアを、統合してテストするための、仕様。
JIS X 25010|システムやソフトウェアの、品質を、評価するための、品質モデルを定めた、規格。
有効性|利用者が、目標を、正確かつ完全に達成できる度合い。
満足性|利用者が、使ったときに、満足できる度合い。
リスク回避性|システムの、利用による、リスクを、抑えられる度合い。
利用状況網羅性|想定される、さまざまな利用状況で、使える度合い。
機能適合性|必要な機能を、備え、正しく動作する度合い。
性能効率性|資源の使用量に対して、十分な性能が得られる度合い。
互換性|他のシステムなどと、情報を交換したり、共存したりできる度合い。
セキュリティ|情報や、データを、不正なアクセスから、守れる度合い。
実体|データベース設計で、管理の対象となる、もの。エンティティ。
関連|エンティティ同士の、つながり。リレーションシップ。
一事実一箇所|同じ事実を、複数の場所に、持たず、1か所だけに記録するという、原則。
階層|上下関係を持った、構造。
段階的詳細化|大きな処理を、少しずつ、詳しい処理に、分けていく設計の方法。
順次|処理を、上から順に、実行する構造。
繰返し|同じ処理を、条件が満たされる間、繰り返す構造。
NS図|構造化プログラミングの処理を、箱を使って表す図。
HIPO|システムの機能を、階層的に表し、入力・処理・出力を、整理する設計技法。
ジャクソン法|入力や出力の、データの構造から、プログラムの構造を導く設計技法。
ワーニエ法|出力データの構造から、プログラムの構造を導く設計技法。
ソフトウェア設計原則|ソフトウェアを、設計するときに、守るべき、基本的な考え方。
メソッド|クラスが持つ、処理。
サブクラス|継承によって、親クラスの性質を、引き継いで作るクラス。
多相性|同じ命令でも、オブジェクトの種類によって、異なる動作をする性質。ポリモーフィズム。
パッケージ|関連する、クラスなどを、まとめたもの。
汎化|複数のクラスに、共通する性質を、取り出して、上位のクラスにまとめること。
特化|上位のクラスから、より具体的な、下位のクラスを作ること。
分解|大きなものを、小さな要素に分けること。
集約|全体と部分の関係で、部分が独立して存在できる関係。
ドメインモデル|業務の、対象領域(ドメイン)の、概念や関係を、表したモデル。
ドメインロジック|業務の、ルールに関する、処理。
ユビキタス言語|開発者と業務の担当者が、共通して使う、用語。
ファイルの統合|複数のファイルを、1つにまとめること。
分かりやすさ|設計や、プログラムが、理解しやすい度合い。
