企業の社会的責任|企業が、利益の追求だけでなく、社会に対して負う責任。CSRともいう。
カーボンフットプリント|商品やサービスの、生産から廃棄までに排出される、温室効果ガスの量を、CO2に換算して表したもの。
持分会社|合名会社・合資会社・合同会社の、総称。出資者が、経営に、直接関わる。
株式公開|会社の株式を、証券取引所で、売買できるようにすること。
所有と経営の分離|会社の所有者(株主)と、経営を行う者が、分かれていること。
ゴーイングコンサーン|企業が、将来にわたって、事業を継続するという前提。継続企業の前提。
コーポレートガバナンス・コード|上場企業が、守るべき、企業統治の原則や指針。
IR|企業が、株主や投資家に対して、経営情報を提供する活動。
統合報告書|財務情報と、環境・社会などの、非財務情報を、統合してまとめた報告書。
アニュアルレポート|企業の、1年間の、経営状況をまとめた年次報告書。
CSR報告書|企業の、社会的責任に関する取組みを、まとめた報告書。
コーポレートアイデンティティ|企業の、理念や、個性を明確にして、社内外に示す活動。
コーポレートブランド|企業そのものに対する、イメージや、信頼。
経営目標|企業が、達成を目指す、経営上の目標。
財務・資産・人事・情報管理|経営資源である、お金・物・人・情報を、管理すること。
コーチング|対話を通じて、相手の、自発的な行動を促し、目標達成を支援する手法。
メンタリング|経験豊富な人が、助言や支援を通じて、相手の成長を、助ける手法。
ケーススタディ|実際の事例を、題材にして、問題解決の力を養う学習方法。
リスキリング|新しい業務に、必要な、知識や技能を、身につけ直すこと。
アダプティブラーニング|学習者の、理解度や進度に応じて、内容を調整する学習方法。
HRテック|人事の業務に、ITを活用する、技術やサービス。
リテンション|優秀な人材が、辞めないよう、つなぎ止めること。
タレントマネジメント|人材の、能力や経験を、把握して、適材適所に活用・育成すること。
エンパワーメント|従業員に、権限を与えて、自主的な判断や、行動を促すこと。
HPI|業務の成果を、高めるために、その要因を分析し、改善策を実施する手法。
ワークエンゲージメント|仕事に、意欲的に取り組み、活力を感じている状態。
ワークライフバランス|仕事と、私生活の、調和がとれている状態。
ワークシェアリング|1人あたりの、労働時間を減らして、仕事を分け合うこと。
テレワーク|情報通信技術を使って、時間や場所にとらわれず、働く形態。
DE&I|多様性・公平性・包括性を、尊重する取組み。
ウェルビーイング|身体的・精神的・社会的に、良好な状態。
ロジカルシンキング|物事を、筋道立てて、論理的に考える方法。
垂直思考|論理を積み重ね、順序立てて、深く考える思考法。
水平思考|既成の枠にとらわれず、自由な発想で考える思考法。
仮説思考|先に、仮の答えを立て、それを検証しながら、問題を解決する考え方。
衛生理論|仕事の不満を、なくす要因(衛生要因)と、満足を高める要因(動機づけ要因)は、別だとする理論。
XY理論|人間は、働くことを嫌う(X理論)、または進んで働く(Y理論)と、2つの見方で、管理の方法を論じた理論。
BCM|事業継続計画を、策定し、維持・改善していく、経営管理の活動。
JIS Q 22301|事業継続マネジメントシステムの、要求事項を定めた、JIS規格。
事業影響度分析|業務が、中断したときの、影響を、分析すること。BIAともいう。
階層型組織|上位から下位へ、指揮命令が流れる、ピラミッド型の組織。
職能別組織|営業・製造・経理など、機能ごとに、部門を分けた組織。
カンパニー制組織|事業部門を、独立した、会社のように、扱う組織。
ラインアンドスタッフ組織|指揮命令を行う、ラインと、それを助言・支援するスタッフに、分けた組織。
CPO|最高製品責任者、または、最高プライバシー責任者。
COO|日々の業務執行を、統括する、最高執行責任者。
レピュテーションリスク|企業の評判が、悪化して、事業に損害が生じるリスク。
SRI|企業の、社会的責任も、評価して、行う投資。社会的責任投資。
サテライトオフィス|本社とは、離れた場所に、設ける小規模なオフィス。
在宅勤務|自宅で、業務を行う働き方。
