不具合の根本原因|不具合が起きた、根本にある、真の原因。
是正処置|見つかった問題の、原因を取り除き、再発を防ぐための、処置。
欠陥修正|見つかった欠陥を、直すこと。
改善作業|システムを、より良くするための、作業。
学んだ教訓の記録|作業から得た、知見や反省を、記録して、今後に生かすこと。
使用性テスト|システムの、使いやすさを、確認するテスト。
ベータテスト|正式な、リリースの前に、一部の利用者に、実際に使ってもらって行うテスト。
運用操作テスト|運用担当者が、実際の運用操作が、行えるかを確認するテスト。
利用者テスト|利用者が、実際に使って、要求を満たしているか確認するテスト。
保守手順|保守作業を、行う手順。
保守体制|保守作業を、行う、体制。
保守の実現可能性|保守が、無理なく、行えること。
保守テスト|保守で、変更した内容を、確認するテスト。
組織の運用の完整性|保守の、作業が、組織の、運用に、悪影響を与えないこと。
保守契約|保守作業について、取り決めた、契約。
保守要件の定義|保守に、求められる要件を、明確にすること。
ハードウェア保守|ハードウェアの、点検・修理などを行うこと。
日常点検|日々の、状態確認を、行う、保守作業。
是正保守|見つかった障害を、修正するための保守。
改良保守|性能や保守性などを、より良くするための、保守。
予防保守|障害が起きる前に、点検や部品の交換を、行う保守。
適応保守|環境の変化に、合わせて、システムを変更する保守。
完全化保守|機能の追加や、性能の改善など、システムの価値を高めるための保守。
オンサイト保守|保守の担当者が、現地に出向いて行う、保守。
遠隔保守|ネットワークを通じて、離れた場所から行う、保守。
ライフサイクルの評価|システムの、導入から廃棄までの、全体を通した、評価。
開発プロセスからの保守に必要な成果物の引継ぎ|開発が終わった後、保守に必要な、成果物を、保守担当に引き継ぐこと。
計画及び手続の作成|保守の、計画や、手続きを、作ること。
問題管理手続の確立|問題を、記録・追跡・解決する、手続きを、確立すること。
保守のための文書作成|保守作業に必要な、文書を、作ること。
問題報告又は修正依頼の分析|報告された問題や、修正の依頼を、分析すること。
問題の再現又は検証|報告された問題を、実際に再現して、確認すること。
修正実施の選択肢の用意|問題を、修正する、方法の選択肢を、用意すること。
修正するシステム及び／又はソフトウェアや関連文書の決定|修正の対象となる、システム・ソフトウェア・文書を、決めること。
機能追加|システムに、新しい機能を、加えること。
性能改良|システムの、性能を、高めること。
問題の是正|見つかった問題を、修正すること。
移行計画の文書化と検証|システムを、移行するための、計画を文書にして、確認すること。
関係者全員への移行計画などの通知|移行の計画などを、関係者全員へ、知らせること。
新旧環境の並行運用と旧環境の停止|新旧の環境を、同時に動かしたあと、旧環境を停止すること。
関係者全員への移行の通知|移行を行うことを、関係者全員に、知らせること。
移行結果の検証|移行が、正しく行われたかを、確認すること。
移行評価|移行の、結果や、進め方を、評価すること。
旧環境関連データの保持と安全性確保|移行後も、旧環境のデータを、保持し、安全に保管すること。
廃棄計画の立案|システムを、廃棄するための、計画を、立てること。
廃棄計画などの利用者への通知|廃棄の計画などを、利用者へ知らせること。
新旧環境の並行運用と利用者の教育訓練|廃棄に備え、新旧の環境を、並行して動かし、利用者を訓練すること。
関係者全員への廃棄の通知|システムを、廃棄することを、関係者全員に、知らせること。
廃棄関連データの保持とアクセス可能性の確保|廃棄後も、必要なデータを、保持して、参照できるようにしておくこと。
