配列|同じ型のデータを連続して並べ、番号(添字)で取り出せるようにしたデータ構造。|a[0]、a[1]、a[2]…のように番号で要素を指定する。
リスト|データを鎖のようにつなげて並べたデータ構造。各要素が次の要素の位置(ポインタ)を持つ。|途中への挿入・削除がポインタのつなぎ替えだけで済む。
スタック|最後に入れたデータを最初に取り出す(後入れ先出し、LIFO)データ構造。|積み重ねた皿は、最後に置いた皿から取る。
キュー|最初に入れたデータを最初に取り出す(先入れ先出し、FIFO)データ構造。|レジの行列は、先に並んだ人から順に会計する。
木構造|根(ルート)から枝分かれして葉へ向かう階層的なデータ構造。|フォルダの階層構造。
二分木|各節点の子が最大2つの木構造。|左の子と右の子がある。
二分探索木|左の子は親より小さく、右の子は親より大きくなるよう作った二分木。探索が速い。
ヒープ|親が子より常に小さい(または大きい)という決まりを持つ木構造。最大・最小値をすぐ取り出せる。
ポインタ|データが記憶されている場所(アドレス)を指し示す値。
アルゴリズム|問題を解決するための手順や計算方法のこと。
線形探索法|先頭から順番に1つずつ比べて、目的のデータを探す方法。|10個なら最悪10回、n個なら最悪n回比べる。
二分探索法|整列済みのデータの真ん中と比べ、探索範囲を半分ずつに絞っていく探索方法。|1000個でも約10回で見つかる。
ハッシュ法|データからハッシュ関数で格納位置を計算し、すばやく格納・探索する方法。
衝突|ハッシュ法で、異なるデータが同じ格納位置に計算されてしまうこと。シノニムともいう。
バブルソート|隣り合う要素を比べて入れ替えを繰り返し、大きい値を端へ押し出していく整列法。
選択ソート|未整列部分から最小値を選んで先頭と入れ替えることを繰り返す整列法。
挿入ソート|未整列の要素を、整列済み部分の正しい位置に挿入していく整列法。
クイックソート|基準値(ピボット)を決め、それより小さいグループと大きいグループに分けながら整列する高速な整列法。
マージソート|データを半分ずつに分けて整列し、整列済みの列を併合(マージ)していく整列法。
ヒープソート|ヒープを作り、最大(最小)値を順に取り出して整列する方法。
再帰呼出し|関数が自分自身を呼び出して処理を進める方法。|階乗n!を n×(n-1)! として計算する。
計算量|アルゴリズムの実行にかかる時間や記憶量を、データ量nの関数として表したもの。O(n)のように書く。
変数|データを一時的に記憶しておく名前付きの入れ物。
定数|プログラムの実行中に値が変わらないデータ。
関数|ひとまとまりの処理に名前を付け、何度でも呼び出せるようにしたもの。
引数|関数を呼び出すときに渡す値。
戻り値|関数が処理を終えたあと、呼び出し元に返す値。
条件分岐|条件が成り立つかどうかで、実行する処理を切り替える制御構造。|if文。
繰返し処理|同じ処理を、条件を満たす間、何度も繰り返す制御構造。|for文、while文。
順次構造|上から順に処理を実行する、基本的な制御構造。
構造化プログラミング|順次・選択・繰返しの3つの構造だけでプログラムを組み立てる考え方。
フローチャート|処理の流れを、図形と矢印で表した図。
擬似言語|試験で使われる、プログラム言語に近い形でアルゴリズムを書く表記法。
トレース|プログラムを1行ずつ追って、変数の値がどう変わるかを確かめること。
値渡し|関数へ変数の値のコピーを渡す方法。関数内で変えても元の値は変わらない。
参照渡し|関数へ変数の場所(アドレス)を渡す方法。関数内で変えると元の値も変わる。
コンパイラ|ソースプログラムを、まとめて機械語へ翻訳するソフトウェア。
インタプリタ|ソースプログラムを1行ずつ解釈しながら実行するソフトウェア。
アセンブラ|アセンブリ言語のプログラムを機械語へ翻訳するソフトウェア。
機械語|CPUが直接理解して実行できる、0と1で表された命令。
オブジェクト指向|データと処理をまとめた「オブジェクト」を組み合わせてプログラムを作る考え方。
クラス|オブジェクトの設計図。データ(属性)と処理(メソッド)を定義する。
インスタンス|クラスをもとに実際に作られたオブジェクト。
継承|既存のクラスの性質を引き継いで、新しいクラスを作ること。
カプセル化|データと処理をひとまとめにして、内部の詳細を外から隠すこと。
ポリモーフィズム|同じ命令を送っても、オブジェクトの種類によって違う動作をする性質。多相性ともいう。
HTML|Webページの構造を記述するマークアップ言語。
XML|利用者が独自のタグを定義できる、汎用のマークアップ言語。|<name>山田</name>のようにデータの意味をタグで表す。
JSON|「名前:値」の組でデータを表す軽量なデータ記述形式。Webの通信でよく使われる。
CSS|HTMLで作った文書の見た目(色・配置など)を指定する言語。
JavaScript|Webブラウザ上でページに動きをつけるために使われるスクリプト言語。
システム監査|情報システムを、独立した立場から点検・評価し、改善を助言・勧告する活動。
システム監査人|システム監査を行う人。監査の対象からは、独立した立場をとる。
被監査部門|システム監査を受ける、対象の部門。
監査対象|システム監査で、点検・評価される対象。
システム監査基準|システム監査を行う際の、判断の基準となる規範。
システム管理基準|システムの管理について、あるべき状態を示した基準。
独立性|監査人が、監査の対象から独立して、公正に判断できる状態。
客観性|個人の主観に左右されず、事実にもとづいて判断すること。
外部監査|組織の外部の人が行う監査。
内部監査|組織の内部の人が行う監査。
監査計画|監査の目的や範囲、日程などを定めた計画。
予備調査|監査の対象について、事前に概要を調べること。
本調査|監査の対象について、実際に証拠を集めて確認する調査。
監査証拠|監査の結論の根拠となる、事実や資料。
監査調書|監査の作業の内容や、結果を記録した書類。
監査報告書|監査の結果と、結論をまとめた報告書。
フォローアップ|監査の指摘事項が、改善されたかを確認すること。
ヒアリング|関係者に質問して、情報を集める調査の方法。
チェックリスト法|確認すべき項目の一覧に基づいて、点検を行う方法。
現地調査|実際に現場へ行って、状況を確認する方法。
突合|複数の資料を、照らし合わせて内容が合っているか確認すること。
監査手続|監査証拠を得るために行う、具体的な手順。
内部統制|組織が、業務を適正に行うために、組織内に構築する仕組み。
IT統制|内部統制のうち、情報システムに関する仕組み。
全般統制|システム全体に関わる、開発や運用などの基盤の統制。
業務処理統制|個別の業務で、処理が正しく行われるようにするための統制。
職務分掌|業務を分け、担当者ごとに責任や権限を明確にすること。
相互牽制|複数の人が、お互いをチェックして不正やミスを防ぐこと。
承認|上位の権限を持つ者が、内容を確認して認めること。
コーポレートガバナンス|企業の経営を、適切に監視し、統制する仕組み。
ITガバナンス|経営者が、ITの活用を適切に統制する仕組み。
J-SOX法|上場企業に、財務報告に関する内部統制の整備と評価・報告を求める法律の通称。
SWOT分析|自社の強み・弱みと、外部環境の機会・脅威を整理して、戦略を考える分析手法。
PPM|事業を、市場の成長率と、市場占有率の2軸で分類し、資源配分を考える手法。プロダクトポートフォリオマネジメントともいう。
花形|PPMで、成長率も占有率も高い事業。
金のなる木|PPMで、成長率は低いが占有率が高く、資金を生み出す事業。
問題児|PPMで、成長率は高いが占有率が低い事業。
負け犬|PPMで、成長率も占有率も低い事業。
コアコンピタンス|他社が容易にまねできない、企業の中核となる強み。
アンゾフの成長マトリクス|製品と市場を、既存と新規に分けて、成長戦略を考える枠組み。
バリューチェーン|事業の活動を、価値を生み出す連鎖として捉えて分析する手法。
M&A|企業の合併や買収のこと。
アライアンス|複数の企業が、互いの強みを生かして提携すること。
ベンチマーキング|優れた他社の手法を調べ、自社と比較して改善に生かす手法。
ブルーオーシャン戦略|競合のいない新しい市場を切り開いて、競争を避ける戦略。
CSR|企業が、社会的な責任を果たすための取組み。
マーケティング|顧客のニーズを把握し、商品が売れる仕組みをつくる活動。
